Data;hora;Tempo(s);Vazão(L/min);Pressão(bar);Frequência(hz);DutyCycle (%)
20/12/2023;12:44:20;0;0;0.03;5.03;7.81
20/12/2023;12:44:23;2;-0.82;0.02;5.03;7.81
20/12/2023;12:44:25;4;-0.82;0.02;5.03;7.81
20/12/2023;12:44:28;6;-0.82;0.02;5.03;7.81
20/12/2023;12:44:34;8;0;2.91;5.03;7.81
20/12/2023;12:44:38;10;0;2.87;5.46;0.01
20/12/2023;12:44:40;12;0;2.83;5.46;0.01
20/12/2023;12:44:43;14;0;2.82;5.46;0.01
20/12/2023;12:44:45;16;0;2.79;5.46;0.01
20/12/2023;12:44:47;18;0;2.79;5.46;0.01
20/12/2023;12:44:50;20;0;2.79;5.03;7.81
20/12/2023;12:44:52;22;0;2.79;5.03;7.81
20/12/2023;12:44:55;24;0;2.8;5.03;7.81
20/12/2023;12:44:58;26;0;2.78;5.03;7.81
20/12/2023;12:45:00;28;0.62;2.78;5.03;7.81
20/12/2023;12:45:03;30;0.62;2.79;5.03;7.81
20/12/2023;12:45:05;32;0;2.76;5.03;7.82
20/12/2023;12:45:08;34;0.62;2.75;5.03;7.81
20/12/2023;12:45:11;36;0.62;2.79;5.03;7.81
20/12/2023;12:45:13;38;0.56;2.75;5.03;7.81
20/12/2023;12:45:16;40;0.62;2.74;5.03;7.81
20/12/2023;12:45:18;42;0.62;2.78;5.03;7.81
20/12/2023;12:45:21;44;0.62;2.75;5.03;7.81
20/12/2023;12:45:24;46;0;2.76;5.03;7.81
20/12/2023;12:45:26;48;0.56;2.74;5.03;7.81
20/12/2023;12:45:29;50;0.62;2.76;5.03;7.81
20/12/2023;12:45:31;52;0.62;2.75;5.03;7.81
20/12/2023;12:45:34;54;0.56;2.74;5.03;7.81
20/12/2023;12:45:37;56;0.62;2.74;5.03;7.81
20/12/2023;12:45:39;58;0.62;2.75;5.03;7.81
20/12/2023;12:45:42;60;0;2.76;5.03;7.81
20/12/2023;12:45:44;62;0.56;2.75;5.03;7.81
20/12/2023;12:45:47;64;0.62;2.75;5.03;7.81
20/12/2023;12:45:50;66;0.62;2.74;64.42;99.97
20/12/2023;12:45:52;68;0.56;2.75;5.46;0.01
20/12/2023;12:45:54;70;0.62;2.74;5.03;7.81
20/12/2023;12:45:57;72;0;2.74;5.03;7.81
20/12/2023;12:46:00;74;0.62;2.74;5.03;7.82
20/12/2023;12:46:02;76;0.56;2.75;64.38;99.96
20/12/2023;12:46:05;78;0.62;2.75;5.99;0.01
20/12/2023;12:46:07;80;0.62;2.74;5.03;16.02
20/12/2023;12:46:10;82;0.56;2.78;5.03;16.02
20/12/2023;12:46:12;84;0.56;2.8;5.03;16.02
20/12/2023;12:46:15;86;0;2.75;5.03;16.02
20/12/2023;12:46:17;88;0.56;2.8;5.03;16.02
20/12/2023;12:46:20;90;0.56;2.76;5.03;16.01
20/12/2023;12:46:23;92;0.56;2.76;5.03;16.02
20/12/2023;12:46:25;94;0.56;2.75;5.03;16.02
20/12/2023;12:46:28;96;0.5;2.75;5.03;16.02
20/12/2023;12:46:30;98;0.56;2.76;5.03;16.02
20/12/2023;12:46:33;100;0;2.75;5.99;0.01
