Data;hora;Tempo(s);Vazão(L/min);Pressão(bar);Frequência(hz);DutyCycle (%);;;
19/12/2023;14:29:39;0;0.95;1.77;5.03;7.81;;;
19/12/2023;14:29:42;2;0.89;2.16;5.03;7.81;;;
19/12/2023;14:29:45;4;0;2.14;5.03;7.81;;;
19/12/2023;14:29:47;6;0.77;2.11;5.03;7.81;;;
19/12/2023;14:29:50;8;0.77;2.1;5.03;7.81;;;
19/12/2023;14:29:52;10;0.7;2.07;5.03;7.81;;;
19/12/2023;14:29:55;12;0.7;2.08;5.03;7.81;;;
19/12/2023;14:29:58;14;0.7;2.06;5.03;7.81;;;
19/12/2023;14:30:00;16;0.77;2.06;5.03;7.81;;;
19/12/2023;14:30:03;18;0.7;2.04;5.46;0.01;;;
19/12/2023;14:30:05;20;0;2.04;5.46;0.01;;;
19/12/2023;14:30:08;22;0.7;2.04;5.03;7.81;;;
19/12/2023;14:30:10;24;0.7;2.03;5.03;7.81;;;
19/12/2023;14:30:13;26;0.7;2.03;5.03;7.81;;;
19/12/2023;14:30:15;28;0.7;2.03;5.03;7.81;;;
19/12/2023;14:30:18;30;0.77;2.04;5.03;7.81;;;
19/12/2023;14:30:21;32;0;2.02;5.03;7.81;;;
19/12/2023;14:30:23;34;0.7;2.03;5.03;7.81;;;
19/12/2023;14:30:26;36;0.7;2.03;5.03;7.81;;;
19/12/2023;14:30:28;38;0.7;2.01;5.03;7.81;;;
19/12/2023;14:30:31;40;0.7;2.02;0;0,00%;;;
19/12/2023;14:30:34;42;0.7;1.63;0;0,00%;;;
19/12/2023;14:30:38;44;0.2;0.63;0;0,00%;;;
19/12/2023;14:35:52;46;0;2.06;0;0,00%;;;
19/12/2023;14:35:55;48;0.55;2.06;0;0,00%;;;
19/12/2023;14:35:59;50;0.55;2.28;0;0,00%;;;
19/12/2023;14:36:02;52;-0.08;2.19;0;0,00%;;;
19/12/2023;14:36:06;54;-0.2;2.16;0;0,00%;;;
19/12/2023;14:36:09;56;-0.27;2.15;5.98;0.15;;;
19/12/2023;14:36:12;58;-0.14;1.89;5.03;16.02;;;
19/12/2023;14:36:15;60;0.42;1.9;5.03;16.02;;;
19/12/2023;14:36:17;62;0.55;1.9;5.03;16.02;;;
19/12/2023;14:36:20;64;0.48;1.9;5.03;16.02;;;
19/12/2023;14:36:22;66;0.48;1.9;5.03;16.02;;;
19/12/2023;14:36:25;68;0;1.9;5.03;16.01;;;
19/12/2023;14:36:28;70;0.55;1.89;5.03;16.02;;;
19/12/2023;14:36:30;72;0.48;1.89;5.03;16.01;;;
19/12/2023;14:36:33;74;0.55;1.89;5.03;16.02;;;
19/12/2023;14:36:35;76;0.48;1.89;31.42;99.99;;;
19/12/2023;14:36:38;78;0.48;1.89;5.03;16.02;;;
19/12/2023;14:36:40;80;0.55;1.89;5.99;0.01;;;
19/12/2023;14:36:43;82;0;1.88;5.99;0.01;;;
19/12/2023;14:36:45;84;0.48;1.86;31.42;99.99;;;
19/12/2023;14:36:48;86;0.48;1.86;5.03;16.01;;;
19/12/2023;14:36:50;88;0.55;1.88;5.03;16.02;;;
19/12/2023;14:36:53;90;0.48;1.88;5.03;16.02;;;
19/12/2023;14:36:55;92;0.48;1.86;31.42;99.99;;;
19/12/2023;14:36:58;94;0;1.86;5.03;16.02;;;
