Data;hora;Tempo(s);Vazão(L/min);Pressão(bar);Frequência(hz);DutyCycle (%)
22/12/2023;16:33:26;0;0.53;2.49;10.06;7.81
22/12/2023;16:33:29;2;0.53;2.54;10.07;7.81
22/12/2023;16:33:31;4;0.00;2.55;10.07;7.81
22/12/2023;16:33:33;6;0.58;2.57;10.07;7.81
22/12/2023;16:33:36;8;0.58;2.61;10.07;7.81
22/12/2023;16:33:38;10;0.53;2.62;10.07;7.81
22/12/2023;16:33:40;12;0.00;2.65;10.07;7.81
22/12/2023;16:33:43;14;0.58;2.65;10.07;7.81
22/12/2023;16:33:45;16;0.58;2.66;10.07;7.81
22/12/2023;16:33:47;18;0.58;2.72;10.07;7.81
22/12/2023;16:33:49;20;0.58;2.74;10.07;7.81
22/12/2023;16:33:52;22;0.00;2.72;10.07;7.81
22/12/2023;16:33:54;24;0.58;2.74;10.07;7.81
22/12/2023;16:33:56;26;0.62;2.74;10.07;7.81
22/12/2023;16:33:59;28;0.58;2.74;10.07;7.81
22/12/2023;16:34:01;30;0.00;2.75;10.07;7.81
22/12/2023;16:34:03;32;0.58;2.74;10.07;7.81
22/12/2023;16:34:06;34;0.58;2.75;10.07;16.02
22/12/2023;16:34:08;36;0.58;2.80;10.07;16.02
22/12/2023;16:34:10;38;0.00;2.83;10.07;16.02
22/12/2023;16:34:12;40;0.58;2.82;10.07;16.02
22/12/2023;16:34:15;42;0.58;2.82;10.07;16.02
22/12/2023;16:34:17;44;0.58;2.82;10.07;16.02
22/12/2023;16:34:19;46;0.00;2.82;10.07;16.02
22/12/2023;16:34:22;48;0.53;2.82;10.07;16.02
22/12/2023;16:34:24;50;0.58;2.83;10.07;16.02
22/12/2023;16:34:26;52;0.53;2.82;10.07;16.02
22/12/2023;16:34:29;54;0.00;2.80;10.07;16.02
22/12/2023;16:34:31;56;0.58;2.79;10.07;16.02
22/12/2023;16:34:33;58;0.58;2.79;10.07;16.02
22/12/2023;16:34:35;60;0.53;2.78;10.07;16.02
22/12/2023;16:34:38;62;0.53;2.78;10.07;16.02
22/12/2023;16:34:40;64;0.00;2.78;10.07;16.02
22/12/2023;16:34:42;66;0.58;2.76;10.07;16.02
22/12/2023;16:34:45;68;0.53;2.75;10.07;16.02
22/12/2023;16:34:47;70;0.58;2.75;10.07;16.02
22/12/2023;16:34:49;72;0.00;2.76;10.07;16.02
22/12/2023;16:34:52;74;0.53;2.75;10.07;16.02
22/12/2023;16:34:54;76;0.58;2.76;10.07;16.02
22/12/2023;16:34:56;78;0.53;2.76;10.07;16.02
22/12/2023;16:34:58;80;0.00;2.75;10.07;16.02
22/12/2023;16:35:01;82;0.58;2.75;10.07;16.02
22/12/2023;16:35:03;84;0.53;2.76;10.07;16.02
22/12/2023;16:35:05;86;0.58;2.76;10.07;16.02
22/12/2023;16:35:08;88;0.00;2.78;10.07;23.73
22/12/2023;16:35:10;90;0.53;2.80;10.07;23.74
22/12/2023;16:35:12;92;0.53;2.82;10.07;23.75
22/12/2023;16:35:15;94;0.53;2.80;10.07;23.76
22/12/2023;16:35:17;96;0.00;2.80;10.07;23.77
22/12/2023;16:35:19;98;0.53;2.79;10.07;23.78
22/12/2023;16:35:21;100;0.58;2.79;10.07;23.79
22/12/2023;16:35:24;102;0.53;2.80;10.07;23.80
22/12/2023;16:35:26;104;0.53;2.80;10.07;23.81
22/12/2023;16:35:28;106;0.00;2.80;10.07;23.82
22/12/2023;16:35:31;108;0.53;2.80;10.07;23.83
22/12/2023;16:35:33;110;0.53;2.79;10.07;23.83
22/12/2023;16:35:35;112;0.58;2.80;10.07;23.83
22/12/2023;16:35:38;114;0.00;2.80;10.07;23.83
22/12/2023;16:35:40;116;0.53;2.79;10.07;23.83
22/12/2023;16:35:42;118;0.53;2.82;10.07;23.83
22/12/2023;16:35:44;120;0.53;2.80;10.07;23.83
22/12/2023;16:35:47;122;0.00;2.80;10.07;23.83
22/12/2023;16:35:49;124;0.58;2.80;10.07;32.03
22/12/2023;16:35:51;126;0.53;2.82;10.07;32.03
22/12/2023;16:35:54;128;0.48;2.85;10.07;32.03
22/12/2023;16:35:56;130;0.00;2.85;10.07;32.03
22/12/2023;16:35:58;132;0.53;2.85;10.07;32.03
22/12/2023;16:36:01;134;0.53;2.85;10.07;32.03
22/12/2023;16:36:03;136;0.53;2.85;10.07;32.03
22/12/2023;16:36:05;138;0.00;2.85;10.07;32.03
22/12/2023;16:36:08;140;0.53;2.84;10.07;32.03
22/12/2023;16:36:10;142;0.48;2.84;10.07;32.03
22/12/2023;16:36:12;144;0.53;2.84;10.07;32.03
22/12/2023;16:36:14;146;0.53;2.85;10.07;32.03
22/12/2023;16:36:17;148;0.00;2.84;10.07;32.03
22/12/2023;16:36:19;150;0.53;2.84;10.07;32.03
22/12/2023;16:36:21;152;0.53;2.85;10.07;32.03
22/12/2023;16:36:24;154;0.53;2.87;10.07;32.03
22/12/2023;16:36:26;156;0.00;2.85;10.07;32.03
22/12/2023;16:36:28;158;0.53;2.85;10.07;32.03
22/12/2023;16:36:31;160;0.48;2.85;10.07;32.03
22/12/2023;16:36:33;162;0.53;2.87;10.07;32.03
22/12/2023;16:36:35;164;0.00;2.85;10.07;32.03
22/12/2023;16:36:37;166;0.53;2.85;10.07;32.03
22/12/2023;16:36:40;168;0.53;2.85;10.07;32.03
22/12/2023;16:36:42;170;0.53;2.87;10.07;32.03
22/12/2023;16:36:44;172;0.00;2.85;10.07;32.03
22/12/2023;16:36:47;174;0.53;2.85;10.07;32.03
22/12/2023;16:36:49;176;0.48;2.91;10.07;32.03
22/12/2023;16:36:51;178;0.53;2.85;10.07;32.03
22/12/2023;16:36:54;180;0.00;2.82;10.07;32.03
22/12/2023;16:36:56;182;0.53;2.84;10.07;32.03
22/12/2023;16:36:58;184;0.53;2.84;10.07;32.03
22/12/2023;16:37:00;186;0.48;2.83;10.07;32.03
22/12/2023;16:37:03;188;0.53;2.83;10.07;32.03
22/12/2023;16:37:05;190;0.00;2.84;10.07;32.03
22/12/2023;16:37:07;192;0.53;2.85;10.07;32.03
22/12/2023;16:37:10;194;0.48;2.84;10.07;32.03
22/12/2023;16:37:12;196;0.53;2.83;10.07;32.03
22/12/2023;16:37:14;198;0.00;2.83;10.07;32.03
22/12/2023;16:37:17;200;0.53;2.85;10.07;39.84
22/12/2023;16:37:19;202;0.48;2.89;10.07;39.84
22/12/2023;16:37:21;204;0.48;2.89;10.07;39.84
22/12/2023;16:37:23;206;0.00;2.89;10.07;39.84
22/12/2023;16:37:26;208;0.53;2.91;10.07;39.84
22/12/2023;16:37:28;210;0.48;2.89;10.07;39.84
22/12/2023;16:37:30;212;0.48;2.88;10.07;39.84
22/12/2023;16:37:33;214;0.00;2.88;10.07;39.84
22/12/2023;16:37:35;216;0.48;2.88;10.07;39.84
22/12/2023;16:37:37;218;0.48;2.88;10.07;39.84
22/12/2023;16:37:40;220;0.48;2.88;10.07;39.84
22/12/2023;16:37:42;222;0.53;2.88;10.07;39.84
22/12/2023;16:37:44;224;0.00;2.87;10.07;39.84
22/12/2023;16:37:46;226;0.48;2.88;10.07;39.84
22/12/2023;16:37:49;228;0.48;2.88;10.07;39.84
22/12/2023;16:37:51;230;0.48;2.88;10.07;39.84
22/12/2023;16:37:53;232;0.00;2.84;10.07;39.84
22/12/2023;16:37:56;234;0.48;2.76;10.07;39.84
22/12/2023;16:37:58;236;0.43;2.76;10.07;39.84
22/12/2023;16:38:00;238;0.48;2.76;10.07;39.84
22/12/2023;16:38:03;240;0.00;2.76;10.07;39.84
22/12/2023;16:38:05;242;0.48;2.76;10.07;39.84
22/12/2023;16:38:07;244;0.43;2.76;10.07;39.84
22/12/2023;16:38:09;246;0.48;2.76;10.07;39.84
22/12/2023;16:38:12;248;0.00;2.75;10.07;39.84
22/12/2023;16:38:14;250;0.48;2.75;10.07;39.84
22/12/2023;16:38:16;252;0.43;2.78;10.07;47.66
22/12/2023;16:38:19;254;0.48;2.80;10.07;47.66
22/12/2023;16:38:21;256;0.00;2.80;10.07;47.66
22/12/2023;16:38:23;258;0.43;2.79;10.07;47.66
22/12/2023;16:38:26;260;0.43;2.79;10.07;47.66
22/12/2023;16:38:28;262;0.43;2.78;10.07;47.66
22/12/2023;16:38:30;264;0.38;2.79;10.07;47.66
22/12/2023;16:38:32;266;0.00;2.78;10.07;47.66
22/12/2023;16:38:35;268;0.43;2.76;10.07;47.66
22/12/2023;16:38:37;270;0.43;2.78;10.07;47.66
22/12/2023;16:38:39;272;0.43;2.78;10.07;47.66
22/12/2023;16:38:42;274;0.00;2.76;10.07;47.66
22/12/2023;16:38:44;276;0.43;2.76;10.07;47.66
22/12/2023;16:38:46;278;0.43;2.79;10.07;47.66
22/12/2023;16:38:49;280;0.43;2.76;10.07;47.66
22/12/2023;16:38:51;282;0.00;2.78;10.07;47.66
22/12/2023;16:38:53;284;0.43;2.75;10.07;47.66
22/12/2023;16:38:55;286;0.43;2.76;10.07;47.66
22/12/2023;16:38:58;288;0.43;2.76;10.07;47.66
22/12/2023;16:39:00;290;0.00;2.78;10.07;47.66
22/12/2023;16:39:02;292;0.43;2.76;10.07;47.66
22/12/2023;16:39:05;294;0.43;2.75;10.07;47.66
22/12/2023;16:39:07;296;0.43;2.76;10.07;47.66
22/12/2023;16:39:09;298;0.00;2.76;10.07;47.66
22/12/2023;16:39:12;300;0.43;2.82;10.07;47.66
22/12/2023;16:39:14;302;0.43;2.82;10.07;47.66
22/12/2023;16:39:16;304;0.38;2.80;10.07;47.66
22/12/2023;16:39:18;306;0.38;2.82;10.07;47.66
22/12/2023;16:39:21;308;0.00;2.83;10.07;47.66
22/12/2023;16:39:23;310;0.38;2.83;10.07;47.66
22/12/2023;16:39:25;312;0.33;2.80;10.07;55.86
22/12/2023;16:39:28;314;0.38;2.78;10.07;55.86
22/12/2023;16:39:30;316;0.00;2.82;10.07;55.86
22/12/2023;16:39:32;318;0.38;2.80;10.07;55.86
22/12/2023;16:39:35;320;0.38;2.82;10.07;55.86
22/12/2023;16:39:37;322;0.33;2.80;10.07;55.86
22/12/2023;16:39:39;324;0.00;2.79;10.07;55.86
22/12/2023;16:39:42;326;0.38;2.78;10.07;55.86
22/12/2023;16:39:44;328;0.38;2.75;10.07;55.86
