Data;hora;Tempo(s);Vazão(L/min);Pressão(bar);Frequência(hz);DutyCycle (%)
22/12/2023;17:04:00;0;0.21;1.84;10.06;7.81
22/12/2023;17:04:02;2;0.41;1.84;10.07;7.81
22/12/2023;17:04:04;4;0.41;1.85;10.07;7.81
22/12/2023;17:04:07;6;0.00;1.83;10.07;7.81
22/12/2023;17:04:09;8;0.36;1.84;10.07;7.81
22/12/2023;17:04:11;10;0.46;1.96;10.07;7.81
22/12/2023;17:04:14;12;0.46;1.96;10.07;7.81
22/12/2023;17:04:16;14;0.00;1.98;10.07;7.81
22/12/2023;17:04:18;16;0.46;2.01;10.07;7.81
22/12/2023;17:04:21;18;0.46;2.02;10.07;7.81
22/12/2023;17:04:23;20;0.51;1.99;10.07;7.81
22/12/2023;17:04:25;22;0.00;2.02;10.07;7.81
22/12/2023;17:04:27;24;0.46;2.02;10.07;7.81
22/12/2023;17:04:30;26;0.46;2.02;10.07;7.81
22/12/2023;17:04:32;28;0.51;2.02;10.07;7.81
22/12/2023;17:04:34;30;0.00;1.99;10.07;7.81
22/12/2023;17:04:37;32;0.46;2.02;10.07;7.81
22/12/2023;17:04:39;34;0.51;2.02;10.07;7.81
22/12/2023;17:04:41;36;0.46;2.02;10.07;7.81
22/12/2023;17:04:44;38;0.46;1.99;10.07;7.81
22/12/2023;17:04:46;40;0.00;2.01;10.07;7.81
22/12/2023;17:04:48;42;0.51;2.01;10.07;7.81
22/12/2023;17:04:50;44;0.46;2.01;10.07;7.81
22/12/2023;17:04:53;46;0.51;1.99;10.07;7.81
22/12/2023;17:04:55;48;0.00;1.99;10.07;7.81
22/12/2023;17:04:57;50;0.46;1.99;10.07;7.81
22/12/2023;17:05:00;52;0.51;2.01;10.07;7.81
22/12/2023;17:05:02;54;0.46;1.99;10.07;7.81
22/12/2023;17:05:04;56;0.00;1.99;10.07;7.81
22/12/2023;17:05:07;58;0.51;2.01;10.07;7.81
22/12/2023;17:05:09;60;0.46;1.99;10.07;7.81
22/12/2023;17:05:11;62;0.51;1.99;10.07;7.81
22/12/2023;17:05:13;64;0.00;2.01;10.07;7.81
22/12/2023;17:05:16;66;0.46;2.01;10.07;7.81
22/12/2023;17:05:18;68;0.51;2.01;10.07;7.81
22/12/2023;17:05:20;70;0.46;1.99;10.07;7.81
22/12/2023;17:05:23;72;0.00;2.01;10.07;7.81
22/12/2023;17:05:25;74;0.46;2.02;10.07;7.81
22/12/2023;17:05:27;76;0.51;2.01;10.07;7.81
22/12/2023;17:05:30;78;0.46;2.01;10.07;7.81
22/12/2023;17:05:32;80;0.51;1.99;10.07;7.81
22/12/2023;17:05:34;82;0.00;2.01;10.07;7.81
22/12/2023;17:05:36;84;0.46;2.01;10.07;7.81
22/12/2023;17:05:39;86;0.51;2.02;10.07;7.81
22/12/2023;17:05:41;88;0.46;1.99;10.07;7.81
22/12/2023;17:05:43;90;0.00;1.99;10.07;7.81
22/12/2023;17:05:46;92;0.46;2.01;10.07;7.81
22/12/2023;17:05:48;94;0.51;2.01;10.07;7.81
22/12/2023;17:05:50;96;0.46;2.01;10.07;7.81
22/12/2023;17:05:53;98;0.00;2.01;10.07;7.81
22/12/2023;17:05:55;100;0.51;2.01;10.07;7.81
22/12/2023;17:05:57;102;0.46;1.99;10.07;7.81
22/12/2023;17:05:59;104;0.51;2.01;10.07;7.81
22/12/2023;17:06:02;106;0.00;1.99;10.07;7.81
22/12/2023;17:06:04;108;0.46;2.01;10.07;7.81
22/12/2023;17:06:06;110;0.51;2.01;10.07;7.81
22/12/2023;17:06:09;112;0.46;1.99;10.07;7.81
22/12/2023;17:06:11;114;0.00;1.98;10.07;7.81
22/12/2023;17:06:13;116;0.51;2.01;10.07;7.81
22/12/2023;17:06:16;118;0.46;2.01;10.07;7.81
22/12/2023;17:06:18;120;0.46;1.99;10.07;7.81
22/12/2023;17:06:20;122;0.51;1.99;10.07;7.81
22/12/2023;17:06:22;124;0.00;2.01;10.07;7.81
22/12/2023;17:06:25;126;0.46;2.01;10.07;7.81
22/12/2023;17:06:27;128;0.46;2.01;10.07;7.81
22/12/2023;17:06:29;130;0.51;2.01;10.07;7.81
