Data;hora;Tempo(s);Vazão(L/min);Pressão(bar);Frequência(hz);DutyCycle (%)
22/12/2023;10:49:32;0;0.00;2.06;5.03;7.82
22/12/2023;10:49:35;2;0.06;2.05;5.03;7.81
22/12/2023;10:49:37;4;0.06;2.03;5.03;7.81
22/12/2023;10:49:40;6;0.06;2.01;5.03;7.81
22/12/2023;10:49:42;8;0.06;1.99;5.03;7.81
22/12/2023;10:49:45;10;0.01;1.99;5.03;7.81
22/12/2023;10:49:48;12;0.06;1.98;5.03;7.81
22/12/2023;10:49:50;14;0.00;1.97;5.03;7.81
22/12/2023;10:49:53;16;0.06;1.97;5.03;7.81
22/12/2023;10:49:55;18;0.06;1.96;64.39;99.97
22/12/2023;10:49:58;20;0.01;1.96;5.03;7.81
22/12/2023;10:50:00;22;0.06;1.96;64.40;100.00
22/12/2023;10:50:03;24;0.06;1.93;5.03;7.81
22/12/2023;10:50:05;26;0.00;1.93;5.03;7.81
22/12/2023;10:50:08;28;0.06;1.97;5.46;0.01
22/12/2023;10:50:10;30;0.01;1.99;5.03;7.81
22/12/2023;10:50:13;32;0.11;2.01;5.46;0.01
22/12/2023;10:50:16;34;0.01;1.97;5.03;7.81
22/12/2023;10:50:18;36;0.06;1.94;64.38;99.97
22/12/2023;10:50:21;38;0.00;1.96;5.03;7.81
22/12/2023;10:50:23;40;0.06;1.94;5.46;0.01
22/12/2023;10:50:26;42;0.01;1.94;5.99;0.01
22/12/2023;10:50:28;44;0.11;1.92;5.03;16.02
22/12/2023;10:50:31;46;0.06;1.94;5.03;16.02
22/12/2023;10:50:33;48;0.11;1.94;5.99;0.01
22/12/2023;10:50:36;50;0.00;1.97;5.03;16.02
22/12/2023;10:50:38;52;0.11;1.98;5.03;16.02
22/12/2023;10:50:41;54;0.11;1.96;5.03;16.02
22/12/2023;10:50:44;56;0.11;1.97;5.03;16.01
22/12/2023;10:50:46;58;0.06;1.97;5.03;16.02
22/12/2023;10:50:49;60;0.11;1.94;5.03;16.01
22/12/2023;10:50:51;62;0.06;1.96;5.99;0.01
22/12/2023;10:50:54;64;0.00;1.96;5.99;0.01
22/12/2023;10:50:56;66;0.11;1.93;5.99;0.01
22/12/2023;10:50:59;68;0.11;1.93;5.03;16.02
22/12/2023;10:51:01;70;0.06;1.93;5.03;16.01
22/12/2023;10:51:04;72;0.11;1.94;5.05;15.69
22/12/2023;10:51:06;74;0.11;1.94;5.03;16.02
22/12/2023;10:51:09;76;0.00;1.94;5.03;16.02
22/12/2023;10:51:11;78;0.06;1.94;5.03;16.02
22/12/2023;10:51:14;80;0.11;1.93;5.03;16.02
22/12/2023;10:51:17;82;0.06;1.92;5.03;16.02
22/12/2023;10:51:19;84;0.11;1.92;5.03;16.02
22/12/2023;10:51:22;86;0.06;1.93;5.03;16.01
22/12/2023;10:51:24;88;0.11;1.93;5.99;0.01
22/12/2023;10:51:27;90;0.00;1.93;5.03;23.83
22/12/2023;10:51:29;92;0.11;1.89;6.61;0.01
22/12/2023;10:51:32;94;0.11;1.93;5.03;23.83
22/12/2023;10:51:34;96;0.11;1.93;5.03;23.83
22/12/2023;10:51:37;98;0.16;2.02;5.03;23.83
22/12/2023;10:51:40;100;0.16;2.05;6.61;0.01
22/12/2023;10:51:42;102;0.00;2.03;6.61;0.01
22/12/2023;10:51:44;104;0.16;2.02;5.03;23.83
22/12/2023;10:51:47;106;0.16;2.02;5.03;23.83
22/12/2023;10:51:50;108;0.16;2.01;5.03;23.83
22/12/2023;10:51:52;110;0.11;2.01;5.03;23.83
22/12/2023;10:51:55;112;0.16;2.01;5.03;23.83
22/12/2023;10:51:57;114;0.16;2.01;5.03;23.83
22/12/2023;10:52:00;116;0.00;2.01;5.03;23.83
22/12/2023;10:52:03;118;0.11;2.02;5.03;23.83
22/12/2023;10:52:05;120;0.16;1.99;5.03;23.83
22/12/2023;10:52:08;122;0.11;1.99;5.03;23.83
22/12/2023;10:52:10;124;0.16;2.02;5.03;23.83
22/12/2023;10:52:13;126;0.16;1.98;5.03;23.83
22/12/2023;10:52:16;128;0.11;2.01;5.03;23.83
22/12/2023;10:52:18;130;0.00;2.05;5.03;23.83
22/12/2023;10:52:21;132;0.16;2.05;5.03;23.83
22/12/2023;10:52:23;134;0.16;2.03;5.03;23.83
22/12/2023;10:52:26;136;0.16;2.01;5.03;23.83
22/12/2023;10:52:29;138;0.16;2.02;5.03;23.83
22/12/2023;10:52:31;140;0.11;2.03;5.03;23.83
22/12/2023;10:52:34;142;0.16;2.02;5.03;23.83
22/12/2023;10:52:36;144;0.00;2.02;5.03;23.83
22/12/2023;10:52:39;146;0.16;1.99;5.03;39.84
22/12/2023;10:52:42;148;0.16;1.96;5.03;39.84
22/12/2023;10:52:44;150;0.21;1.97;5.03;39.84
22/12/2023;10:52:47;152;0.16;1.97;8.36;0.02
22/12/2023;10:52:49;154;0.21;1.97;5.03;39.84
22/12/2023;10:52:52;156;0.21;1.97;5.03;39.84
22/12/2023;10:52:54;158;0.00;1.98;5.03;39.84
22/12/2023;10:52:57;160;0.21;1.99;5.03;39.84
22/12/2023;10:53:00;162;0.21;1.97;12.63;100.00
22/12/2023;10:53:02;164;0.21;1.98;5.03;39.85
22/12/2023;10:53:05;166;0.21;1.97;5.03;39.84
22/12/2023;10:53:07;168;0.21;1.99;5.03;39.85
22/12/2023;10:53:10;170;0.16;2.01;5.03;39.84
22/12/2023;10:53:12;172;0.00;1.99;5.03;39.85
22/12/2023;10:53:15;174;0.21;1.99;5.03;39.84
22/12/2023;10:53:18;176;0.21;2.01;5.03;39.85
22/12/2023;10:53:20;178;0.21;1.99;5.03;39.84
22/12/2023;10:53:23;180;0.21;2.01;5.03;39.85
22/12/2023;10:53:25;182;0.21;1.99;5.03;39.84
22/12/2023;10:53:28;184;0.21;1.99;5.03;39.85
22/12/2023;10:53:31;186;0.00;1.98;5.03;39.84
22/12/2023;10:53:33;188;0.21;1.98;5.03;39.85
22/12/2023;10:53:36;190;0.16;1.97;8.37;0.01
22/12/2023;10:53:38;192;0.21;1.98;8.37;0.01
22/12/2023;10:53:41;194;0.21;1.98;12.63;99.99
22/12/2023;10:53:43;196;0.21;1.99;5.03;32.03
22/12/2023;10:53:46;198;0.00;2.01;5.03;32.03
22/12/2023;10:53:48;200;0.16;2.01;5.03;32.03
22/12/2023;10:53:51;202;0.21;2.02;5.03;32.03
22/12/2023;10:53:53;204;0.16;2.01;5.03;32.03
22/12/2023;10:53:56;206;0.21;2.02;5.03;32.03
22/12/2023;10:53:59;208;0.16;1.98;5.03;32.03
22/12/2023;10:54:01;210;0.16;1.98;5.03;32.03
22/12/2023;10:54:04;212;0.00;1.98;5.03;32.03
22/12/2023;10:54:06;214;0.21;1.96;5.03;32.03
22/12/2023;10:54:09;216;0.16;1.97;5.03;32.03
22/12/2023;10:54:12;218;0.16;1.97;5.03;32.03
22/12/2023;10:54:14;220;0.16;1.98;5.03;32.03
22/12/2023;10:54:17;222;0.16;1.98;5.03;32.03
22/12/2023;10:54:19;224;0.21;1.98;5.03;32.03
22/12/2023;10:54:22;226;0.00;1.97;7.40;0.01
22/12/2023;10:54:24;228;0.16;1.97;15.71;99.99
22/12/2023;10:54:27;230;0.16;1.96;7.40;0.01
22/12/2023;10:54:29;232;0.16;1.98;5.03;32.03
22/12/2023;10:54:32;234;0.16;1.97;5.03;32.03
22/12/2023;10:54:34;236;0.21;1.97;5.03;32.03
22/12/2023;10:54:37;238;0.00;1.97;7.41;0.01
22/12/2023;10:54:39;240;0.16;1.98;5.03;32.03
22/12/2023;10:54:42;242;0.16;1.97;5.03;32.03
22/12/2023;10:54:45;244;0.16;1.97;5.03;32.03
22/12/2023;10:54:47;246;0.21;1.98;5.03;32.03
22/12/2023;10:54:50;248;0.16;1.97;5.03;32.03
22/12/2023;10:54:52;250;0.16;1.97;6.41;40.77
22/12/2023;10:54:55;252;0.00;1.96;5.03;39.85
22/12/2023;10:54:58;254;0.21;1.98;5.03;39.84
22/12/2023;10:55:00;256;0.21;1.99;5.03;39.85
22/12/2023;10:55:03;258;0.21;1.98;5.03;39.84
22/12/2023;10:55:05;260;0.16;1.98;5.03;39.85
22/12/2023;10:55:08;262;0.26;1.99;5.03;39.84
22/12/2023;10:55:11;264;0.21;1.99;5.03;39.85
22/12/2023;10:55:13;266;0.00;2.01;8.37;0.01
22/12/2023;10:55:16;268;0.21;1.98;12.63;99.99
22/12/2023;10:55:18;270;0.16;1.99;5.03;39.85
22/12/2023;10:55:21;272;0.21;1.98;5.03;39.84
22/12/2023;10:55:23;274;0.21;1.98;5.03;39.85
22/12/2023;10:55:26;276;0.21;1.99;8.37;0.01
22/12/2023;10:55:28;278;0.00;1.99;5.03;39.84
22/12/2023;10:55:31;280;0.21;1.99;5.03;39.84
22/12/2023;10:55:33;282;0.21;1.97;5.03;39.84
22/12/2023;10:55:36;284;0.16;1.96;5.03;47.66
22/12/2023;10:55:39;286;0.21;1.96;5.03;47.66
22/12/2023;10:55:41;288;0.26;1.98;5.03;47.66
22/12/2023;10:55:44;290;0.21;1.99;5.03;47.66
22/12/2023;10:55:46;292;0.00;1.97;5.03;47.66
22/12/2023;10:55:49;294;0.26;1.99;5.03;47.66
22/12/2023;10:55:52;296;0.21;1.99;5.03;47.66
22/12/2023;10:55:54;298;0.26;2.01;5.03;47.66
22/12/2023;10:55:57;300;0.21;2.01;5.03;47.66
22/12/2023;10:55:59;302;0.21;1.98;5.03;47.66
22/12/2023;10:56:02;304;0.26;1.99;5.03;47.66
22/12/2023;10:56:05;306;0.00;1.98;5.03;47.65
22/12/2023;10:56:07;308;0.21;1.98;5.03;47.66
22/12/2023;10:56:10;310;0.21;1.99;5.03;47.66
22/12/2023;10:56:12;312;0.26;1.97;9.61;0.01
22/12/2023;10:56:15;314;0.21;1.96;10.56;100.00
22/12/2023;10:56:17;316;0.21;1.97;9.61;0.01
22/12/2023;10:56:20;318;0.00;1.97;9.62;0.02
22/12/2023;10:56:22;320;0.26;1.98;5.03;47.66
22/12/2023;10:56:25;322;0.21;1.99;9.61;0.01
22/12/2023;10:56:27;324;0.21;1.98;10.56;99.99
22/12/2023;10:56:29;326;0.26;1.96;9.61;0.01
22/12/2023;10:56:32;328;0.00;1.96;9.61;0.03
22/12/2023;10:56:34;330;0.21;1.96;5.03;55.86
22/12/2023;10:56:37;332;0.26;1.97;5.03;55.86
22/12/2023;10:56:39;334;0.26;1.98;5.03;55.86
22/12/2023;10:56:42;336;0.26;1.99;5.03;55.86
22/12/2023;10:56:45;338;0.26;1.98;5.03;55.86
22/12/2023;10:56:47;340;0.26;1.98;5.03;55.86
22/12/2023;10:56:50;342;0.00;1.97;5.03;55.86
22/12/2023;10:56:52;344;0.26;1.97;5.03;55.86
22/12/2023;10:56:55;346;0.26;1.99;9.01;100.00
22/12/2023;10:56:57;348;0.26;1.96;5.03;55.86
22/12/2023;10:57:00;350;0.26;1.94;9.01;100.00
22/12/2023;10:57:02;352;0.21;1.96;5.03;55.86
22/12/2023;10:57:05;354;0.00;1.97;11.40;0.02
22/12/2023;10:57:07;356;0.26;1.98;5.03;55.86
22/12/2023;10:57:10;358;0.26;1.97;5.03;55.86
22/12/2023;10:57:13;360;0.26;1.97;5.03;55.86
22/12/2023;10:57:15;362;0.26;1.97;5.03;55.86
22/12/2023;10:57:18;364;0.26;1.97;9.01;100.00
22/12/2023;10:57:20;366;0.26;1.97;5.03;55.86
22/12/2023;10:57:23;368;0.00;1.97;5.03;55.87
22/12/2023;10:57:25;370;0.26;1.97;5.03;55.86
22/12/2023;10:57:28;372;0.26;1.99;5.03;55.86
22/12/2023;10:57:31;374;0.26;1.98;5.03;55.86
22/12/2023;10:57:33;376;0.26;1.96;5.03;63.67
22/12/2023;10:57:36;378;0.31;1.96;13.85;0.02
22/12/2023;10:57:38;380;0.00;1.96;7.91;100.00
22/12/2023;10:57:41;382;0.26;1.96;5.03;63.67
22/12/2023;10:57:43;384;0.26;1.97;5.03;63.67
22/12/2023;10:57:46;386;0.31;1.96;5.03;63.67
22/12/2023;10:57:48;388;0.26;1.99;5.03;63.67
22/12/2023;10:57:51;390;0.31;1.99;13.85;0.02
22/12/2023;10:57:53;392;0.00;1.99;5.03;63.67
22/12/2023;10:57:56;394;0.31;1.99;5.03;63.68
22/12/2023;10:57:59;396;0.26;2.01;5.03;63.67
22/12/2023;10:58:01;398;0.31;1.98;5.03;63.67
22/12/2023;10:58:04;400;0.31;2.01;5.03;63.67
22/12/2023;10:58:06;402;0.26;2.01;5.03;63.67
22/12/2023;10:58:09;404;0.31;1.99;5.03;63.67
22/12/2023;10:58:12;406;0.00;2.01;5.03;63.67
22/12/2023;10:58:14;408;0.26;1.98;5.03;63.67
22/12/2023;10:58:17;410;0.31;1.97;5.03;63.67
22/12/2023;10:58:19;412;0.26;1.99;5.03;71.88
22/12/2023;10:58:22;414;0.31;1.97;7.00;100.00
22/12/2023;10:58:24;416;0.31;1.97;5.03;71.88
22/12/2023;10:58:27;418;0.31;1.96;5.03;71.88
22/12/2023;10:58:30;420;0.00;1.98;5.03;71.88
22/12/2023;10:58:32;422;0.31;1.98;5.03;71.88
22/12/2023;10:58:35;424;0.31;1.97;5.03;71.88
22/12/2023;10:58:37;426;0.31;1.97;5.03;71.88
22/12/2023;10:58:40;428;0.35;1.98;5.03;71.88
22/12/2023;10:58:43;430;0.31;1.97;5.03;71.88
22/12/2023;10:58:45;432;0.31;1.98;5.03;71.88
22/12/2023;10:58:48;434;0.00;1.99;5.03;71.88
22/12/2023;10:58:50;436;0.31;1.99;5.03;71.88
22/12/2023;10:58:53;438;0.35;2.02;5.03;71.88
22/12/2023;10:58:56;440;0.31;2.03;5.03;71.88
22/12/2023;10:58:58;442;0.31;2.01;5.03;71.88
22/12/2023;10:59:01;444;0.35;2.02;5.03;71.88
22/12/2023;10:59:03;446;0.31;2.02;5.03;71.88
22/12/2023;10:59:06;448;0.31;2.02;5.03;71.88
22/12/2023;10:59:09;450;0.00;2.02;5.03;71.88
22/12/2023;10:59:11;452;0.35;2.03;5.03;71.88
22/12/2023;10:59:14;454;0.31;2.02;5.03;71.88
22/12/2023;10:59:16;456;0.31;2.02;5.03;78.91
22/12/2023;10:59:19;458;0.35;2.01;5.03;78.91
22/12/2023;10:59:22;460;0.35;1.99;6.38;100.00
22/12/2023;10:59:24;462;0.31;1.99;6.38;100.00
22/12/2023;10:59:26;464;0.00;1.99;6.38;100.00
22/12/2023;10:59:29;466;0.35;2.01;5.03;78.91
22/12/2023;10:59:31;468;0.35;2.02;5.03;78.91
22/12/2023;10:59:34;470;0.31;2.02;5.03;78.91
22/12/2023;10:59:37;472;0.35;2.02;5.03;78.91
22/12/2023;10:59:39;474;0.31;2.02;5.03;78.91
22/12/2023;10:59:42;476;0.00;1.99;5.03;78.91
22/12/2023;10:59:44;478;0.35;1.99;23.85;0.04
22/12/2023;10:59:47;480;0.35;2.02;6.38;100.00
22/12/2023;10:59:49;482;0.31;1.99;5.03;78.91
22/12/2023;10:59:52;484;0.35;2.02;5.03;78.91
22/12/2023;10:59:54;486;0.35;2.01;5.03;78.91
22/12/2023;10:59:57;488;0.00;2.02;5.03;78.91
22/12/2023;11:00:00;490;0.31;2.01;5.03;78.91
22/12/2023;11:00:02;492;0.35;2.01;5.03;78.91
22/12/2023;11:00:05;494;0.35;2.02;5.03;78.91
22/12/2023;11:00:07;496;0.35;2.02;5.03;78.91
22/12/2023;11:00:10;498;0.31;2.01;23.85;0.04
22/12/2023;11:00:12;500;0.35;2.01;5.03;78.91
22/12/2023;11:00:15;502;0.00;2.02;5.03;78.91
22/12/2023;11:00:18;504;0.31;2.02;5.03;78.91
22/12/2023;11:00:20;506;0.35;2.01;5.03;78.91
22/12/2023;11:00:23;508;0.35;2.02;23.85;0.03
22/12/2023;11:00:25;510;0.31;2.01;5.03;78.91
22/12/2023;11:00:28;512;0.35;1.99;6.38;100.00
22/12/2023;11:00:30;514;0.00;2.01;23.85;0.04
22/12/2023;11:00:33;516;0.35;2.02;23.85;0.04
22/12/2023;11:00:35;518;0.31;2.01;5.03;78.91
22/12/2023;11:00:38;520;0.35;2.01;5.03;78.91
22/12/2023;11:00:40;522;0.35;2.01;5.03;78.91
22/12/2023;11:00:43;524;0.31;1.98;5.03;78.91
22/12/2023;11:00:45;526;0.00;1.97;5.03;78.91
22/12/2023;11:00:48;528;0.31;1.97;5.03;78.91
22/12/2023;11:00:51;530;0.35;1.97;5.03;78.91
22/12/2023;11:00:53;532;0.31;1.98;5.03;78.91
22/12/2023;11:00:56;534;0.35;1.99;5.03;78.91
22/12/2023;11:00:58;536;0.31;2.01;5.03;78.91
22/12/2023;11:01:01;538;0.35;2.02;5.03;78.91
22/12/2023;11:01:04;540;0.00;2.02;5.03;78.91
22/12/2023;11:01:06;542;0.35;2.02;5.03;78.91
22/12/2023;11:01:09;544;0.35;2.02;23.85;0.03
22/12/2023;11:01:11;546;0.35;2.05;5.03;78.91
22/12/2023;11:01:14;548;0.31;2.02;5.03;78.91
22/12/2023;11:01:16;550;0.35;2.05;5.03;78.91
22/12/2023;11:01:19;552;0.35;2.03;5.03;78.91
