Data;hora;Tempo(s);Vazão(L/min);Pressão(bar);Frequência(hz);DutyCycle (%)
22/12/2023;12:48:41;0;-0.15;2.85;7.05;7.81
22/12/2023;12:48:43;2;-0.15;2.80;7.64;7.81
22/12/2023;12:48:45;4;-0.10;2.78;7.05;7.81
22/12/2023;12:48:48;6;0.00;2.76;7.05;7.81
22/12/2023;12:48:50;8;-0.15;2.75;7.05;7.81
22/12/2023;12:48:53;10;-0.15;2.75;7.05;7.81
22/12/2023;12:48:55;12;-0.15;2.76;7.05;7.81
22/12/2023;12:48:58;14;-0.15;2.74;7.05;7.81
22/12/2023;12:49:00;16;0.00;2.75;7.05;7.81
22/12/2023;12:49:02;18;-0.15;2.75;7.05;7.81
22/12/2023;12:49:05;20;-0.15;2.75;7.05;7.81
22/12/2023;12:49:07;22;-0.10;2.74;7.05;7.81
22/12/2023;12:49:10;24;-0.15;2.75;7.05;7.81
22/12/2023;12:49:12;26;0.00;2.74;7.05;7.81
22/12/2023;12:49:14;28;-0.15;2.74;7.05;7.81
22/12/2023;12:49:17;30;-0.15;2.74;7.05;7.81
22/12/2023;12:49:19;32;-0.15;2.72;7.05;16.02
22/12/2023;12:49:21;34;-0.10;2.70;7.05;16.02
22/12/2023;12:49:24;36;0.00;2.67;7.05;16.02
22/12/2023;12:49:26;38;-0.05;2.67;7.05;16.02
22/12/2023;12:49:29;40;-0.05;2.66;7.05;16.02
22/12/2023;12:49:31;42;-0.10;2.66;7.05;16.02
22/12/2023;12:49:34;44;-0.05;2.67;7.05;16.02
22/12/2023;12:49:36;46;0.00;2.70;7.05;16.02
22/12/2023;12:49:38;48;-0.05;2.67;7.05;16.02
22/12/2023;12:49:41;50;-0.05;2.66;7.05;16.02
22/12/2023;12:49:43;52;-0.10;2.65;7.05;16.02
22/12/2023;12:49:46;54;-0.05;2.66;7.05;16.02
22/12/2023;12:49:48;56;0.00;2.66;7.05;16.02
22/12/2023;12:49:50;58;-0.05;2.66;7.05;16.02
22/12/2023;12:49:53;60;-0.05;2.65;7.05;16.02
22/12/2023;12:49:55;62;-0.05;2.65;7.05;16.02
22/12/2023;12:49:58;64;0.00;2.71;7.05;16.02
22/12/2023;12:50:00;66;-0.05;2.71;7.05;16.02
22/12/2023;12:50:02;68;-0.05;2.71;7.05;16.02
22/12/2023;12:50:05;70;-0.05;2.71;7.05;16.02
22/12/2023;12:50:07;72;-0.05;2.74;7.05;16.02
22/12/2023;12:50:10;74;-0.05;2.74;7.05;16.02
22/12/2023;12:50:12;76;0.00;2.75;7.05;16.02
22/12/2023;12:50:14;78;-0.05;2.74;7.05;16.02
22/12/2023;12:50:17;80;0.00;2.76;7.05;16.02
22/12/2023;12:50:19;82;-0.05;2.79;7.05;16.02
22/12/2023;12:50:22;84;0.00;2.78;7.05;16.02
22/12/2023;12:50:24;86;-0.05;2.79;7.05;16.02
22/12/2023;12:50:27;88;0.00;2.78;7.05;16.02
22/12/2023;12:50:29;90;-0.05;2.78;7.05;16.02
22/12/2023;12:50:31;92;-0.05;2.79;7.05;16.02
22/12/2023;12:50:34;94;0.00;2.79;7.05;16.02
22/12/2023;12:50:36;96;-0.05;2.79;7.05;16.02
22/12/2023;12:50:38;98;0.00;2.79;7.05;16.02
22/12/2023;12:50:41;100;-0.05;2.78;7.05;16.02
22/12/2023;12:50:43;102;-0.05;2.76;7.05;16.02
22/12/2023;12:50:46;104;0.00;2.78;7.05;16.02
22/12/2023;12:50:48;106;0.00;2.79;7.05;16.02
