Data;hora;Tempo(s);Vazão(L/min);Pressão(bar);Frequência(hz);DutyCycle (%)
21/12/2023;16:02:39;0;0.04;2.27;7.04;10
21/12/2023;16:02:41;2;0.04;2.27;7.05;10
21/12/2023;16:02:44;4;0.00;2.26;7.05;10
21/12/2023;16:02:46;6;-0.02;2.27;7.04;10
21/12/2023;16:02:49;8;0.04;2.24;7.06;10
21/12/2023;16:02:51;10;-0.02;2.23;7.05;10
21/12/2023;16:02:53;12;0.04;2.26;7.04;10
21/12/2023;16:02:56;14;0.00;2.23;7.05;10
21/12/2023;16:02:58;16;-0.02;2.24;7.04;10
21/12/2023;16:03:01;18;0.04;2.22;7.05;10
21/12/2023;16:03:03;20;-0.02;2.23;7.04;10
21/12/2023;16:03:06;22;-0.02;2.24;7.06;10
21/12/2023;16:03:08;24;0.00;2.22;7.05;10
21/12/2023;16:03:10;26;0.04;2.18;7.05;10
21/12/2023;16:03:13;28;-0.02;2.15;7.05;10
21/12/2023;16:03:15;30;-0.08;2.03;7.04;10
21/12/2023;16:03:18;32;-0.08;1.99;7.05;10
21/12/2023;16:03:20;34;0.00;1.99;7.04;10
21/12/2023;16:03:23;36;-0.08;1.98;7.05;10
21/12/2023;16:03:25;38;-0.02;1.98;7.05;10
21/12/2023;16:03:27;40;-0.08;1.98;7.06;20
21/12/2023;16:03:30;42;-0.08;1.98;7.10;20
21/12/2023;16:03:32;44;0.00;1.94;6.91;20
21/12/2023;16:03:35;46;-0.02;1.94;7.19;20
21/12/2023;16:03:37;48;0.04;1.94;6.86;20
21/12/2023;16:03:40;50;-0.02;1.93;7.24;20
21/12/2023;16:03:42;52;0.04;1.94;6.88;20
21/12/2023;16:03:44;54;0.00;1.92;7.05;20
21/12/2023;16:03:47;56;-0.02;1.94;7.04;20
21/12/2023;16:03:49;58;0.04;1.94;6.96;20
21/12/2023;16:03:52;60;-0.02;1.93;7.13;20
21/12/2023;16:03:54;62;0.04;2.02;6.88;20
21/12/2023;16:03:57;64;0.00;2.03;7.27;20
21/12/2023;16:03:59;66;0.04;2.07;7.04;20
21/12/2023;16:04:01;68;0.10;2.06;6.98;20
21/12/2023;16:04:04;70;0.04;2.05;7.14;20
21/12/2023;16:04:06;72;0.04;2.05;6.90;20
21/12/2023;16:04:09;74;0.00;2.06;7.22;20
21/12/2023;16:04:11;76;0.04;2.06;6.83;20
21/12/2023;16:04:14;78;0.04;2.03;7.27;20
21/12/2023;16:04:16;80;0.04;2.06;6.84;20
21/12/2023;16:04:18;82;0.04;2.02;7.14;20
21/12/2023;16:04:21;84;0.00;2.05;7.13;20
21/12/2023;16:04:23;86;0.04;2.05;6.95;20
21/12/2023;16:04:26;88;0.10;2.03;7.12;20
21/12/2023;16:04:28;90;0.04;2.03;6.91;20
21/12/2023;16:04:31;92;0.04;2.03;7.21;20
21/12/2023;16:04:33;94;0.04;2.05;6.87;30
21/12/2023;16:04:35;96;0.00;2.03;7.18;30
21/12/2023;16:04:38;98;0.04;2.05;7.28;30
21/12/2023;16:04:40;100;0.04;2.02;6.75;30
21/12/2023;16:04:43;102;0.10;2.01;7.30;30
21/12/2023;16:04:45;104;0.15;2.01;6.84;30
21/12/2023;16:04:48;106;0.00;2.02;6.91;30
21/12/2023;16:04:50;108;0.10;2.01;7.15;30
21/12/2023;16:04:52;110;0.10;2.02;7.20;30
21/12/2023;16:04:55;112;0.10;1.99;7.20;30
21/12/2023;16:04:57;114;0.10;2.02;7.24;30
21/12/2023;16:05:00;116;0.00;2.01;6.81;30
21/12/2023;16:05:02;118;0.10;1.99;7.34;30
21/12/2023;16:05:05;120;0.10;2.02;6.84;30
21/12/2023;16:05:07;122;0.10;2.01;7.27;30
21/12/2023;16:05:09;124;0.10;2.03;7.04;30
