Data;hora;Tempo(s);Vazão(L/min);Pressão(bar);Frequência(hz);DutyCycle (%)
21/12/2023;12:12:45;70;0.00;3.71;7.04;10
21/12/2023;12:12:47;72;0.29;3.73;7.05;10
21/12/2023;12:12:50;74;0.29;3.65;7.05;10
21/12/2023;12:12:52;76;0.23;3.60;7.05;10
21/12/2023;12:12:55;78;0.29;3.61;7.05;10
21/12/2023;12:12:57;80;0.00;3.54;7.04;10
21/12/2023;12:13:00;82;0.16;3.53;7.04;10
21/12/2023;12:13:02;84;0.23;3.49;7.05;10
21/12/2023;12:13:04;86;0.16;3.51;7.05;10
21/12/2023;12:13:07;88;0.23;3.51;7.06;10
21/12/2023;12:13:09;90;0.00;3.51;7.04;10
21/12/2023;12:13:12;92;0.16;3.51;7.04;10
21/12/2023;12:13:14;94;0.23;3.51;7.05;10
21/12/2023;12:13:17;96;0.16;3.48;7.05;10
21/12/2023;12:13:19;98;0.16;3.49;7.04;10
21/12/2023;12:13:21;100;0.00;3.49;7.05;10
21/12/2023;12:13:24;102;0.16;3.48;7.04;10
21/12/2023;12:13:26;104;0.16;3.44;7.04;10
21/12/2023;12:13:29;106;0.16;3.41;7.04;10
21/12/2023;12:13:31;108;0.16;3.40;7.05;10
21/12/2023;12:13:34;110;0.16;3.40;7.05;10
21/12/2023;12:13:36;112;0.00;3.39;7.05;10
21/12/2023;12:13:38;114;0.10;3.35;7.05;10
21/12/2023;12:13:41;116;0.16;3.36;7.04;10
21/12/2023;12:13:43;118;0.10;3.41;7.05;10
21/12/2023;12:13:46;120;0.16;3.40;7.05;10
21/12/2023;12:13:48;122;0.00;3.44;7.05;10
21/12/2023;12:13:51;124;0.16;3.49;7.05;10
21/12/2023;12:13:53;126;0.10;3.47;7.04;10
21/12/2023;12:13:55;128;0.16;3.44;7.03;10
21/12/2023;12:13:58;130;0.16;3.45;7.06;10
21/12/2023;12:14:00;132;0.00;3.45;7.05;10
21/12/2023;12:14:03;134;0.16;3.44;7.05;10
21/12/2023;12:14:05;136;0.16;3.47;7.05;10
21/12/2023;12:14:08;138;0.10;3.44;7.03;10
21/12/2023;12:14:10;140;0.16;3.47;7.05;10
21/12/2023;12:14:12;142;0.00;3.44;7.05;10
21/12/2023;12:14:15;144;0.10;3.44;7.04;10
