Data;hora;Tempo(s);Vazão(L/min);Pressão(bar);Frequência(hz);DutyCycle (%);;;;;;;;
19/12/2023;16:31:29;0;0.05;1.85;10.07;7.81;;;;;;;;
19/12/2023;16:31:31;2;0.36;1.85;10.07;7.81;;;;;;;;
19/12/2023;16:31:33;4;0.61;1.86;10.07;7.81;;;;;;;;
19/12/2023;16:31:36;6;0;1.85;10.07;7.82;;;;;;;;
19/12/2023;16:31:38;8;0.55;1.86;10.07;7.81;;;;;;;;
19/12/2023;16:31:40;10;0.61;1.86;10.07;7.81;;;;;;;;
19/12/2023;16:31:43;12;0.61;1.86;128.78;99.95;;;;;;;;
19/12/2023;16:31:45;14;0;1.85;128.77;99.94;;;;;;;;
19/12/2023;16:31:47;16;0.61;1.86;128.78;99.95;;;;;;;;
19/12/2023;16:31:49;18;0.61;1.86;10.07;7.82;;;;;;;;
19/12/2023;16:31:52;20;0.55;1.86;10.07;7.81;;;;;;;;
19/12/2023;16:31:54;22;0;1.86;10.07;7.81;;;;;;;;
19/12/2023;16:31:56;24;0.61;1.86;10.07;7.81;;;;;;;;
19/12/2023;16:31:58;26;0.55;1.86;10.07;7.82;;;;;;;;
19/12/2023;16:32:01;28;0.61;1.86;10.07;7.82;;;;;;;;
19/12/2023;16:32:03;30;0;1.86;10.92;0.02;;;;;;;;
19/12/2023;16:32:05;32;0.61;1.85;128.7;99.96;;;;;;;;
19/12/2023;16:32:07;34;0.55;1.85;10.07;7.82;;;;;;;;
19/12/2023;16:32:10;36;0.61;1.86;10.07;7.81;;;;;;;;
19/12/2023;16:32:12;38;0;1.85;10.07;7.81;; ;;;;;;
19/12/2023;16:32:14;40;0.61;1.85;10.07;7.81;;;;;;;;
19/12/2023;16:32:17;42;0.55;1.85;10.07;7.82;;;;;;;;
19/12/2023;16:32:19;44;0.61;1.85;10.07;7.82;;;;;;;;
19/12/2023;16:32:21;46;0;1.86;10.07;7.81;;;;;;;;
19/12/2023;16:32:24;48;0.55;1.85;10.07;7.81;;;;;;;;
