Data;hora;Tempo(s);Vazão(L/min);Pressão(bar);Frequência(hz);DutyCycle (%)
20/12/2023;16:45:48;0;-0.15;3.22;5.03;7.81
20/12/2023;16:45:50;2;-0.15;3.22;5.03;7.81
20/12/2023;16:45:53;4;-0.03;3.27;5.03;7.81
20/12/2023;16:45:56;6;0.66;3.26;5.03;7.81
20/12/2023;16:45:58;8;0.66;3.23;5.03;7.81
20/12/2023;16:46:01;10;0.66;3.3;5.03;7.81
20/12/2023;16:46:03;12;0.6;3.3;5.03;7.81
20/12/2023;16:46:06;14;0.66;3.28;5.03;7.81
20/12/2023;16:46:09;16;0.73;3.3;5.03;7.81
20/12/2023;16:46:11;18;0.66;3.31;5.03;7.81
20/12/2023;16:46:14;20;0.66;3.31;5.03;7.82
20/12/2023;16:46:16;22;0.66;3.28;5.03;7.81
20/12/2023;16:46:19;24;0.66;3.31;5.03;7.81
20/12/2023;16:46:22;26;0.73;3.32;5.03;7.81
20/12/2023;16:46:24;28;0.66;3.32;5.03;7.81
20/12/2023;16:46:27;30;0.66;3.3;5.46;0.01
20/12/2023;16:46:29;32;0;3.3;5.46;0.01
20/12/2023;16:46:32;34;0.66;3.32;5.46;0.01
20/12/2023;16:46:34;36;0.66;3.3;5.03;7.81
20/12/2023;16:46:37;38;0.73;3.31;5.03;7.81
20/12/2023;16:46:39;40;0.66;3.31;5.03;7.81
20/12/2023;16:46:42;42;0.66;3.3;5.03;7.81
20/12/2023;16:46:44;44;0;3.3;5.03;7.81
20/12/2023;16:46:47;46;0.73;3.28;5.03;7.81
20/12/2023;16:46:50;48;0.66;3.28;5.03;7.81
20/12/2023;16:46:52;50;0.66;3.31;5.03;7.81
20/12/2023;16:46:55;52;0.66;3.28;5.46;0.01
20/12/2023;16:46:57;54;0.66;3.31;5.03;16.01
20/12/2023;16:47:00;56;0.66;3.38;5.03;16.02
20/12/2023;16:47:02;58;0;3.38;5.03;16.01
20/12/2023;16:47:05;60;0.66;3.34;5.03;16.02
20/12/2023;16:47:07;62;0.6;3.36;5.03;16.02
20/12/2023;16:47:10;64;0.66;3.36;5.03;16.02
20/12/2023;16:47:13;66;0.66;3.36;5.03;16.02
20/12/2023;16:47:15;68;0.66;3.35;5.03;16.02
20/12/2023;16:47:18;70;0.6;3.34;5.03;16.02
20/12/2023;16:47:20;72;0;3.36;5.03;16.02
20/12/2023;16:47:23;74;0.66;3.36;5.99;0.01
20/12/2023;16:47:25;76;0.66;3.35;5.99;0.01
20/12/2023;16:47:28;78;0.66;3.35;5.03;16.01
20/12/2023;16:47:30;80;0.6;3.38;5.03;16.02
20/12/2023;16:47:33;82;0.66;3.36;5.03;16.01
20/12/2023;16:47:36;84;0;3.36;5.03;16.02
20/12/2023;16:47:38;86;0.66;3.34;5.03;16.02
20/12/2023;16:47:41;88;0.6;3.36;5.03;16.02
20/12/2023;16:47:43;90;0.66;3.34;5.03;16.02
20/12/2023;16:47:46;92;0.66;3.36;5.03;16.02
20/12/2023;16:47:49;94;0.6;3.34;5.03;16.02
20/12/2023;16:47:51;96;0.66;3.31;5.03;16.02
20/12/2023;16:47:54;98;0.66;3.32;5.03;16.02
20/12/2023;16:47:56;100;0;3.36;5.03;16.02
20/12/2023;16:47:59;102;0.6;3.36;5.03;16.02
20/12/2023;16:48:02;104;0.66;3.4;5.03;23.83
20/12/2023;16:48:04;106;0.6;3.41;5.03;23.83
20/12/2023;16:48:07;108;0.54;3.4;5.03;23.83
20/12/2023;16:48:09;110;0.6;3.43;5.03;23.83
20/12/2023;16:48:12;112;0.6;3.43;5.03;23.83
20/12/2023;16:48:15;114;0;3.41;5.03;23.83
20/12/2023;16:48:17;116;0.54;3.41;5.03;23.83
20/12/2023;16:48:20;118;0.6;3.43;5.03;23.83
20/12/2023;16:48:22;120;0.54;3.39;5.03;23.83
20/12/2023;16:48:25;122;0.6;3.41;5.03;23.83
20/12/2023;16:48:28;124;0.54;3.4;6.61;0.01
20/12/2023;16:48:30;126;0.6;3.4;5.03;23.83
20/12/2023;16:48:33;128;0;3.4;5.03;23.83
20/12/2023;16:48:35;130;0.54;3.4;5.03;23.83
20/12/2023;16:48:38;132;0.6;3.43;5.03;23.83
20/12/2023;16:48:40;134;0.54;3.43;5.03;23.83
20/12/2023;16:48:43;136;0.6;3.43;5.03;23.83
20/12/2023;16:48:46;138;0.54;3.41;6.61;0.01
20/12/2023;16:48:48;140;0;3.43;6.61;0.01
20/12/2023;16:48:50;142;0.6;3.4;6.61;0.01
20/12/2023;16:48:53;144;0.54;3.4;5.03;23.83
20/12/2023;16:48:55;146;0.6;3.4;5.03;23.83
20/12/2023;16:48:58;148;0.54;3.43;5.03;23.83
20/12/2023;16:49:01;150;0.6;3.43;5.03;23.83
20/12/2023;16:49:03;152;0.6;3.41;5.03;23.83
20/12/2023;16:49:06;154;0;3.4;5.03;32.03
20/12/2023;16:49:08;156;0.54;3.45;5.03;32.03
20/12/2023;16:49:11;158;0.54;3.47;5.03;32.03
20/12/2023;16:49:14;160;0.48;3.43;7.4;0.01
20/12/2023;16:49:16;162;0.54;3.48;5.03;32.03
20/12/2023;16:49:19;164;0.54;3.47;5.03;32.03
20/12/2023;16:49:21;166;0;3.43;5.03;32.03
20/12/2023;16:49:24;168;0.48;3.41;7.4;0.01
20/12/2023;16:49:26;170;0.54;3.45;5.03;32.03
20/12/2023;16:49:29;172;0.54;3.43;5.03;32.03
20/12/2023;16:49:31;174;0.48;3.45;5.03;32.03
20/12/2023;16:49:34;176;0.54;3.44;15.71;10000,00%
20/12/2023;16:49:36;178;0.48;3.41;7.4;0.01
20/12/2023;16:49:39;180;0;3.44;7.4;0.01
20/12/2023;16:49:41;182;0.54;3.47;5.03;32.03
20/12/2023;16:49:44;184;0.48;3.47;5.03;32.03
