Data;hora;Tempo(s);Vazão(L/min);Pressão(bar);Frequência(hz);DutyCycle (%)
22/12/2023;15:11:37;0;0.00;3.48;5.03;7.81
22/12/2023;15:11:39;2;0.61;3.48;5.03;7.81
22/12/2023;15:11:41;4;0.66;3.49;5.03;7.81
22/12/2023;15:11:43;6;0.66;3.51;5.03;7.81
22/12/2023;15:11:45;8;0.00;3.49;5.03;7.81
22/12/2023;15:11:48;10;0.61;3.48;5.03;7.81
22/12/2023;15:11:50;12;0.66;3.48;5.03;7.81
22/12/2023;15:11:52;14;0.00;3.48;5.03;7.81
22/12/2023;15:11:54;16;0.66;3.48;5.03;7.81
22/12/2023;15:11:56;18;0.61;3.48;5.03;7.81
22/12/2023;15:11:59;20;0.66;3.47;5.03;7.81
22/12/2023;15:12:01;22;0.00;3.48;5.03;7.81
22/12/2023;15:12:03;24;0.61;3.48;5.03;7.81
22/12/2023;15:12:05;26;0.66;3.47;5.03;7.81
22/12/2023;15:12:07;28;0.66;3.49;5.03;7.81
22/12/2023;15:12:10;30;0.00;3.49;5.03;7.81
22/12/2023;15:12:12;32;0.66;3.49;5.03;7.81
22/12/2023;15:12:14;34;0.66;3.48;5.03;7.81
22/12/2023;15:12:16;36;0.00;3.48;5.03;7.81
22/12/2023;15:12:18;38;0.61;3.49;5.03;7.81
22/12/2023;15:12:21;40;0.66;3.48;5.03;7.81
22/12/2023;15:12:23;42;0.66;3.47;5.03;7.81
22/12/2023;15:12:25;44;0.00;3.49;5.03;7.81
22/12/2023;15:12:27;46;0.66;3.48;5.03;7.81
22/12/2023;15:12:29;48;0.66;3.48;5.03;7.81
22/12/2023;15:12:32;50;0.66;3.49;5.03;7.81
22/12/2023;15:12:34;52;0.00;3.47;5.03;7.81
22/12/2023;15:12:36;54;0.61;3.48;5.03;7.81
22/12/2023;15:12:38;56;0.66;3.47;5.03;7.81
22/12/2023;15:12:40;58;0.66;3.48;5.03;7.81
22/12/2023;15:12:43;60;0.00;3.47;5.03;7.81
22/12/2023;15:12:45;62;0.66;3.45;5.03;7.81
22/12/2023;15:12:47;64;0.66;3.45;5.03;7.81
22/12/2023;15:12:49;66;0.00;3.47;5.03;7.81
22/12/2023;15:12:51;68;0.66;3.48;5.03;7.81
22/12/2023;15:12:54;70;0.66;3.48;5.03;7.81
22/12/2023;15:12:56;72;0.61;3.48;5.03;7.81
22/12/2023;15:12:58;74;0.00;3.47;5.03;7.81
22/12/2023;15:13:00;76;0.66;3.47;5.03;7.81
22/12/2023;15:13:02;78;0.66;3.48;5.03;7.81
22/12/2023;15:13:05;80;0.66;3.47;5.03;7.81
22/12/2023;15:13:07;82;0.00;3.51;5.03;7.81
22/12/2023;15:13:10;84;0.66;3.49;5.03;7.81
22/12/2023;15:13:14;86;0.61;3.45;5.03;7.81
22/12/2023;15:13:17;88;0.66;3.48;5.03;7.81
22/12/2023;15:13:21;90;0.66;3.45;5.03;7.81
22/12/2023;15:13:24;92;0.66;3.48;5.03;7.81
22/12/2023;15:13:27;94;0.66;3.19;5.03;7.81
22/12/2023;15:13:29;96;0.66;3.57;5.03;7.81
22/12/2023;15:13:32;98;0.61;3.53;5.05;7.81
22/12/2023;15:13:34;100;0.66;3.57;5.03;7.81
22/12/2023;15:20:53;102;0.17;3.14;5.03;16.02
22/12/2023;15:20:56;104;0.51;3.14;5.05;16.02
22/12/2023;15:20:58;106;0.46;3.11;5.03;16.02
22/12/2023;15:21:01;108;0.51;3.13;5.03;16.02
22/12/2023;15:21:03;110;0.51;3.10;5.05;16.02
22/12/2023;15:21:06;112;0.00;3.10;5.03;16.02
22/12/2023;15:21:09;114;0.46;3.10;5.03;16.02
22/12/2023;15:21:11;116;0.51;3.10;5.05;16.02
22/12/2023;15:21:14;118;0.51;3.08;5.03;16.02
22/12/2023;15:21:16;120;0.51;3.09;5.03;16.02
22/12/2023;15:21:19;122;0.51;3.08;5.05;16.02
22/12/2023;15:21:22;124;0.46;3.08;5.03;16.02
22/12/2023;15:21:24;126;0.00;3.08;5.03;16.02
22/12/2023;15:21:27;128;0.51;3.09;5.05;16.02
22/12/2023;15:21:29;130;0.51;3.08;5.03;16.02
22/12/2023;15:21:32;132;0.51;3.05;5.03;16.02
22/12/2023;15:21:35;134;0.51;3.06;5.05;16.02
22/12/2023;15:21:37;136;0.51;3.08;5.03;16.02
22/12/2023;15:21:40;138;0.51;3.06;5.03;16.02
22/12/2023;15:21:42;140;0.00;3.06;5.05;16.02
22/12/2023;15:21:45;142;0.46;3.04;5.03;16.02
22/12/2023;15:21:48;144;0.51;3.04;5.03;16.02
22/12/2023;15:21:50;146;0.51;3.02;5.05;16.02
22/12/2023;15:21:53;148;0.51;3.05;5.03;16.02
22/12/2023;15:21:55;150;0.51;3.08;5.03;16.02
22/12/2023;15:21:58;152;0.51;3.15;5.05;16.02
22/12/2023;15:22:01;154;0.51;3.19;5.03;16.02
