Data;hora;Tempo(s);Vazão(L/min);Pressão(bar);Frequência(hz);DutyCycle (%)
22/12/2023;16:54:46;0;0.36;1.88;7.42;7.81
22/12/2023;16:54:49;2;0.46;1.88;7.06;7.81
22/12/2023;16:54:51;4;0.41;1.86;7.04;7.81
22/12/2023;16:54:54;6;0.41;1.86;7.05;7.81
22/12/2023;16:54:56;8;0.41;1.86;7.05;7.81
22/12/2023;16:54:58;10;0.41;1.90;7.04;7.81
22/12/2023;16:55:01;12;0.00;1.96;7.05;7.81
22/12/2023;16:55:03;14;0.46;2.01;7.05;7.81
22/12/2023;16:55:06;16;0.46;2.01;7.05;7.81
22/12/2023;16:55:08;18;0.51;1.99;7.04;7.81
22/12/2023;16:55:11;20;0.46;2.09;7.05;7.81
22/12/2023;16:55:13;22;0.46;2.06;7.05;7.81
22/12/2023;16:55:15;24;0.00;2.06;7.04;7.81
22/12/2023;16:55:18;26;0.46;2.05;7.05;7.81
22/12/2023;16:55:20;28;0.46;2.03;7.05;7.81
22/12/2023;16:55:23;30;0.46;2.05;7.04;7.81
22/12/2023;16:55:25;32;0.51;2.03;7.04;7.81
22/12/2023;16:55:28;34;0.00;2.02;7.05;7.81
22/12/2023;16:55:30;36;0.46;2.02;7.05;7.81
22/12/2023;16:55:32;38;0.46;1.99;7.04;7.81
22/12/2023;16:55:35;40;0.46;1.98;7.05;7.81
22/12/2023;16:55:37;42;0.51;1.97;7.05;7.81
22/12/2023;16:55:40;44;0.00;1.98;7.04;7.81
22/12/2023;16:55:42;46;0.46;1.99;7.05;7.81
22/12/2023;16:55:45;48;0.46;1.97;7.05;7.81
22/12/2023;16:55:47;50;0.46;1.97;7.04;7.81
22/12/2023;16:55:49;52;0.51;1.97;7.05;7.81
22/12/2023;16:55:52;54;0.00;1.98;7.06;7.81
22/12/2023;16:55:54;56;0.46;1.98;7.04;7.81
22/12/2023;16:55:57;58;0.46;1.98;7.05;7.81
22/12/2023;16:55:59;60;0.51;1.97;7.05;7.81
22/12/2023;16:56:02;62;0.46;1.97;7.03;7.81
22/12/2023;16:56:04;64;0.00;1.98;7.05;7.81
22/12/2023;16:56:06;66;0.51;1.96;7.05;7.81
22/12/2023;16:56:09;68;0.46;1.97;7.04;7.81
22/12/2023;16:56:11;70;0.46;1.96;7.05;7.81
22/12/2023;16:56:14;72;0.46;1.98;7.05;7.81
22/12/2023;16:56:16;74;0.00;1.98;7.04;7.81
22/12/2023;16:56:19;76;0.46;1.97;7.05;7.81
22/12/2023;16:56:21;78;0.51;1.96;7.05;7.81
22/12/2023;16:56:23;80;0.46;1.96;7.04;7.81
22/12/2023;16:56:26;82;0.46;1.97;7.04;7.81
22/12/2023;16:56:28;84;0.00;1.97;7.05;7.81
22/12/2023;16:56:31;86;0.51;1.98;7.05;7.81
22/12/2023;16:56:33;88;0.46;1.97;7.06;7.81
22/12/2023;16:56:36;90;0.46;1.97;7.04;7.81
22/12/2023;16:56:38;92;0.46;1.96;7.05;7.81
22/12/2023;16:56:40;94;0.00;1.96;7.05;7.81
22/12/2023;16:56:43;96;0.46;1.97;7.05;7.81
22/12/2023;16:56:45;98;0.51;1.94;7.05;7.81
22/12/2023;16:56:48;100;0.46;1.99;7.05;16.02
22/12/2023;16:56:50;102;0.46;2.01;7.05;16.02
22/12/2023;16:56:53;104;0.41;1.99;7.05;16.02
22/12/2023;16:56:55;106;0.00;1.99;7.05;16.02
22/12/2023;16:56:57;108;0.46;1.99;7.05;16.02
22/12/2023;16:57:00;110;0.41;2.02;7.05;16.02
22/12/2023;16:57:02;112;0.46;2.01;7.05;16.02
22/12/2023;16:57:05;114;0.46;2.01;7.05;16.02
22/12/2023;16:57:07;116;0.00;1.99;7.05;16.02
22/12/2023;16:57:10;118;0.41;1.99;7.05;16.02
22/12/2023;16:57:12;120;0.46;1.99;7.05;16.02
22/12/2023;16:57:14;122;0.41;1.99;7.05;16.02
22/12/2023;16:57:17;124;0.41;2.01;7.05;16.02
22/12/2023;16:57:19;126;0.00;1.98;7.05;16.02
22/12/2023;16:57:22;128;0.46;1.99;7.05;16.02
22/12/2023;16:57:24;130;0.41;2.01;7.05;16.02
22/12/2023;16:57:27;132;0.46;1.99;7.05;23.83
22/12/2023;16:57:29;134;0.41;1.99;7.05;23.83
22/12/2023;16:57:31;136;0.00;2.03;7.05;23.83
22/12/2023;16:57:34;138;0.41;2.03;7.05;23.83
22/12/2023;16:57:36;140;0.41;2.02;7.05;23.83
22/12/2023;16:57:39;142;0.41;2.03;7.05;23.83
22/12/2023;16:57:41;144;0.41;2.03;7.05;23.83
22/12/2023;16:57:44;146;0.00;2.01;7.05;23.83
22/12/2023;16:57:46;148;0.41;2.02;7.05;23.83
22/12/2023;16:57:48;150;0.41;2.03;7.05;23.83
22/12/2023;16:57:51;152;0.41;2.02;7.05;23.83
22/12/2023;16:57:53;154;0.41;2.01;7.05;23.83
22/12/2023;16:57:56;156;0.00;2.03;7.05;23.83
22/12/2023;16:57:58;158;0.41;2.01;7.05;23.83
22/12/2023;16:58:01;160;0.41;2.02;7.05;23.83
22/12/2023;16:58:03;162;0.41;2.01;7.05;23.83
22/12/2023;16:58:05;164;0.41;2.02;7.05;23.83
22/12/2023;16:58:08;166;0.00;2.02;7.05;23.83
22/12/2023;16:58:10;168;0.41;2.02;7.05;23.83
22/12/2023;16:58:13;170;0.41;2.02;7.05;23.83
22/12/2023;16:58:15;172;0.36;2.03;7.05;23.83
22/12/2023;16:58:18;174;0.46;2.02;7.05;23.83
22/12/2023;16:58:20;176;0.00;2.02;7.05;23.83
22/12/2023;16:58:22;178;0.36;2.02;7.05;23.83
22/12/2023;16:58:25;180;0.41;2.02;7.05;32.03
22/12/2023;16:58:27;182;0.41;2.03;7.05;32.03
22/12/2023;16:58:30;184;0.41;2.05;7.05;32.03
22/12/2023;16:58:32;186;0.41;2.03;7.05;32.03
22/12/2023;16:58:35;188;0.00;2.03;7.05;32.03
22/12/2023;16:58:37;190;0.41;2.03;7.05;32.03
22/12/2023;16:58:39;192;0.41;2.02;7.05;32.03
22/12/2023;16:58:42;194;0.41;2.03;7.05;32.03
22/12/2023;16:58:44;196;0.36;2.03;7.05;32.03
22/12/2023;16:58:47;198;0.00;2.02;7.05;32.03
22/12/2023;16:58:49;200;0.41;2.03;7.05;32.03
22/12/2023;16:58:52;202;0.41;2.02;7.05;32.03
22/12/2023;16:58:54;204;0.41;2.02;7.05;32.03
22/12/2023;16:58:56;206;0.41;2.03;7.05;32.03
22/12/2023;16:58:59;208;0.00;2.02;7.05;32.03
22/12/2023;16:59:01;210;0.36;2.06;7.05;39.84
22/12/2023;16:59:04;212;0.41;2.05;7.05;39.84
22/12/2023;16:59:06;214;0.36;2.06;7.05;39.84
22/12/2023;16:59:09;216;0.41;2.05;7.05;39.84
22/12/2023;16:59:11;218;0.00;2.03;7.05;39.84
22/12/2023;16:59:13;220;0.36;2.05;7.05;39.84
22/12/2023;16:59:16;222;0.36;2.06;7.05;39.84
22/12/2023;16:59:18;224;0.41;2.05;7.05;39.84
22/12/2023;16:59:21;226;0.36;2.03;7.05;39.84
22/12/2023;16:59:23;228;0.00;2.06;7.05;39.84
22/12/2023;16:59:26;230;0.36;2.02;7.05;39.84
