Data;hora;Tempo(s);Vazão(L/min);Pressão(bar);Frequência(hz);DutyCycle (%)
22/12/2023;14:10:41;0;0.11;3.32;5.03;7.81
22/12/2023;14:10:44;2;0.16;3.32;64.39;7.81
22/12/2023;14:10:46;4;0.16;3.40;5.03;7.81
22/12/2023;14:10:49;6;0.00;3.41;5.03;7.81
22/12/2023;14:10:52;8;0.16;3.41;5.03;7.81
22/12/2023;14:10:54;10;0.16;3.43;5.03;7.81
22/12/2023;14:10:57;12;0.16;3.49;5.03;7.81
22/12/2023;14:10:59;14;0.16;3.49;5.03;7.81
22/12/2023;14:11:02;16;0.16;3.48;5.03;7.81
22/12/2023;14:11:05;18;0.16;3.49;5.03;7.81
22/12/2023;14:11:07;20;0.00;3.49;5.03;7.81
22/12/2023;14:11:10;22;0.16;3.48;5.03;7.81
22/12/2023;14:11:12;24;0.21;3.48;5.03;7.81
22/12/2023;14:11:15;26;0.16;3.48;5.03;7.81
22/12/2023;14:11:17;28;0.16;3.49;5.03;7.81
22/12/2023;14:11:20;30;0.16;3.49;5.03;7.81
22/12/2023;14:11:22;32;0.16;3.48;5.03;7.81
22/12/2023;14:11:25;34;0.00;3.48;5.03;7.81
22/12/2023;14:11:28;36;0.16;3.47;5.03;7.81
22/12/2023;14:11:30;38;0.16;3.49;5.03;7.81
22/12/2023;14:11:33;40;0.21;3.48;5.03;7.81
22/12/2023;14:11:35;42;0.16;3.49;5.03;7.81
22/12/2023;14:11:38;44;0.16;3.48;5.03;7.81
22/12/2023;14:11:40;46;0.00;3.48;5.03;7.81
22/12/2023;14:11:43;48;0.16;3.49;5.03;7.81
22/12/2023;14:11:45;50;0.21;3.48;5.03;7.81
22/12/2023;14:11:48;52;0.16;3.48;5.03;7.81
22/12/2023;14:11:51;54;0.16;3.49;5.03;7.81
22/12/2023;14:11:53;56;0.16;3.48;5.03;7.81
22/12/2023;14:11:56;58;0.16;3.48;5.03;7.81
22/12/2023;14:11:58;60;0.00;3.49;5.03;7.81
22/12/2023;14:12:01;62;0.16;3.49;5.03;7.81
22/12/2023;14:12:04;64;0.21;3.48;5.03;7.81
22/12/2023;14:12:06;66;0.16;3.49;5.03;7.81
22/12/2023;14:12:08;68;0.16;3.48;5.03;7.81
22/12/2023;14:12:11;70;0.16;3.48;5.03;7.81
22/12/2023;14:12:14;72;0.16;3.48;5.03;7.81
22/12/2023;14:12:16;74;0.00;3.48;5.03;7.81
22/12/2023;14:12:18;76;0.16;3.49;5.03;7.81
22/12/2023;14:12:21;78;0.16;3.48;5.03;7.81
22/12/2023;14:12:24;80;0.16;3.47;5.03;7.81
22/12/2023;14:12:26;82;0.21;3.47;5.03;7.81
22/12/2023;14:12:29;84;0.00;3.45;5.03;7.81
22/12/2023;14:12:31;86;0.16;3.48;5.03;7.81
22/12/2023;14:12:34;88;0.16;3.47;5.03;7.81
22/12/2023;14:12:36;90;0.21;3.48;5.03;7.81
22/12/2023;14:12:39;92;0.16;3.48;5.03;7.81
22/12/2023;14:12:41;94;0.00;3.48;5.03;7.81
22/12/2023;14:12:44;96;0.00;3.49;5.03;7.81
22/12/2023;14:12:46;98;0.00;3.51;5.03;7.81
22/12/2023;14:12:49;100;0.00;3.48;5.03;7.81
22/12/2023;14:12:51;102;0.00;3.48;5.03;7.81
22/12/2023;14:12:54;104;0.00;3.49;5.03;7.81
22/12/2023;14:12:57;106;0.00;3.48;5.03;7.81
22/12/2023;14:12:59;108;0.00;3.48;5.03;7.81
22/12/2023;14:13:02;110;0.10;3.47;5.03;7.81
22/12/2023;14:13:04;112;0.00;3.49;5.03;7.81
22/12/2023;14:13:07;114;0.15;3.47;5.03;7.81
22/12/2023;14:13:09;116;0.10;3.47;5.03;7.81
22/12/2023;14:13:12;118;0.10;3.48;5.03;7.81
22/12/2023;14:13:14;120;0.15;3.48;5.03;7.81
22/12/2023;14:13:17;122;0.10;3.47;5.03;7.81
22/12/2023;14:13:20;124;0.00;3.48;5.03;7.81
22/12/2023;14:13:22;126;0.15;3.48;5.03;7.81
22/12/2023;14:13:25;128;0.10;3.48;5.03;7.81
22/12/2023;14:13:27;130;0.10;3.48;5.03;7.81
22/12/2023;14:13:30;132;0.15;3.48;5.03;7.81
22/12/2023;14:13:32;134;0.10;3.48;5.03;7.81
22/12/2023;14:13:35;136;0.15;3.49;5.03;7.81
22/12/2023;14:13:38;138;0.00;3.47;5.03;7.81
22/12/2023;14:13:40;140;0.10;3.47;5.03;7.81
22/12/2023;14:13:43;142;0.10;3.47;5.03;7.81
22/12/2023;14:13:45;144;0.15;3.48;5.03;7.81
22/12/2023;14:13:48;146;0.10;3.51;5.03;7.81
22/12/2023;14:13:50;148;0.10;3.48;5.03;7.81
22/12/2023;14:13:53;150;0.00;3.48;5.03;7.81
22/12/2023;14:13:55;152;0.15;3.48;5.03;7.81
22/12/2023;14:13:58;154;0.10;3.47;5.03;7.81
22/12/2023;14:14:00;156;0.15;3.49;5.03;7.81
22/12/2023;14:14:03;158;0.10;3.49;5.03;7.81
22/12/2023;14:14:05;160;0.10;3.49;5.03;7.81
22/12/2023;14:14:08;162;0.00;3.47;5.03;7.81
22/12/2023;14:14:10;164;0.15;3.48;5.03;7.81
22/12/2023;14:14:13;166;0.10;3.48;5.03;7.81
22/12/2023;14:14:16;168;0.15;3.47;5.03;7.81
22/12/2023;14:14:18;170;0.10;3.47;5.03;7.81
22/12/2023;14:14:21;172;0.10;3.47;5.03;7.81
22/12/2023;14:14:23;174;0.10;3.48;5.03;7.81
22/12/2023;14:14:26;176;0.00;3.49;5.03;7.81
22/12/2023;14:14:28;178;0.15;3.48;5.03;7.81
22/12/2023;14:14:31;180;0.10;3.47;5.03;16.02
22/12/2023;14:14:33;182;0.15;3.39;5.03;16.02
22/12/2023;14:14:36;184;0.20;3.40;5.03;16.02
22/12/2023;14:14:39;186;0.20;3.47;5.03;16.02
22/12/2023;14:14:41;188;0.00;3.47;5.03;16.02
22/12/2023;14:14:43;190;0.20;3.43;5.03;16.02
22/12/2023;14:14:46;192;0.15;3.41;5.03;16.02
22/12/2023;14:14:49;194;0.20;3.41;5.03;16.02
22/12/2023;14:14:51;196;0.20;3.41;5.03;16.02
22/12/2023;14:14:54;198;0.20;3.41;5.03;16.02
22/12/2023;14:14:56;200;0.20;3.40;5.03;16.02
22/12/2023;14:14:59;202;0.00;3.40;5.03;16.02
22/12/2023;14:15:02;204;0.20;3.44;5.03;16.02
22/12/2023;14:15:04;206;0.20;3.49;5.03;16.02
22/12/2023;14:15:07;208;0.20;3.44;5.03;16.02
22/12/2023;14:15:09;210;0.20;3.45;5.03;16.02
22/12/2023;14:15:12;212;0.20;3.44;5.03;16.02
22/12/2023;14:15:15;214;0.20;3.44;5.03;16.02
22/12/2023;14:15:17;216;0.00;3.43;5.03;16.02
22/12/2023;14:15:20;218;0.15;3.43;5.03;16.02
22/12/2023;14:15:22;220;0.20;3.41;5.03;16.02
22/12/2023;14:15:25;222;0.20;3.41;5.03;16.02
22/12/2023;14:15:28;224;0.20;3.49;5.03;16.02
22/12/2023;14:15:30;226;0.20;3.43;5.03;16.02
22/12/2023;14:15:33;228;0.20;3.43;5.03;16.02
22/12/2023;14:15:35;230;0.00;3.44;5.03;16.02
22/12/2023;14:15:38;232;0.20;3.40;5.03;16.02
22/12/2023;14:15:40;234;0.25;3.40;5.03;16.02
22/12/2023;14:15:43;236;0.25;3.41;5.03;23.83
22/12/2023;14:15:45;238;0.20;3.41;5.03;23.83
22/12/2023;14:15:48;240;0.25;3.41;5.03;23.83
22/12/2023;14:15:50;242;0.00;3.40;5.03;23.83
22/12/2023;14:15:53;244;0.25;3.45;5.03;23.83
22/12/2023;14:15:56;246;0.25;3.43;5.03;23.83
22/12/2023;14:15:58;248;0.20;3.40;5.03;23.83
22/12/2023;14:16:01;250;0.25;3.41;5.03;23.83
22/12/2023;14:16:03;252;0.25;3.40;5.03;23.83
22/12/2023;14:16:06;254;0.25;3.40;5.03;23.83
22/12/2023;14:16:08;256;0.00;3.40;5.03;23.83
22/12/2023;14:16:11;258;0.20;3.40;5.03;23.83
22/12/2023;14:16:13;260;0.25;3.45;5.03;23.83
22/12/2023;14:16:15;262;0.25;3.52;5.03;23.83
22/12/2023;14:16:18;264;0.25;3.45;5.03;23.83
22/12/2023;14:16:21;266;0.00;3.47;5.03;23.83
22/12/2023;14:16:23;268;0.25;3.45;5.03;23.83
22/12/2023;14:16:26;270;0.25;3.47;5.03;32.03
22/12/2023;14:16:28;272;0.30;3.44;5.03;32.03
22/12/2023;14:16:31;274;0.25;3.45;5.03;32.03
22/12/2023;14:16:33;276;0.30;3.45;5.03;32.03
22/12/2023;14:16:36;278;0.00;3.45;5.03;32.03
22/12/2023;14:16:38;280;0.25;3.44;5.03;32.03
22/12/2023;14:16:41;282;0.30;3.49;5.03;32.03
22/12/2023;14:16:44;284;0.30;3.43;5.03;32.03
22/12/2023;14:16:46;286;0.25;3.45;5.03;32.03
22/12/2023;14:16:49;288;0.30;3.45;5.03;32.03
22/12/2023;14:16:51;290;0.25;3.44;5.03;32.03
22/12/2023;14:16:53;292;0.00;3.44;5.03;32.03
22/12/2023;14:16:56;294;0.30;3.43;5.03;32.03
22/12/2023;14:16:58;296;0.25;3.47;5.03;32.03
22/12/2023;14:17:01;298;0.30;3.51;5.03;32.03
22/12/2023;14:17:04;300;0.30;3.45;5.03;32.03
22/12/2023;14:17:06;302;0.25;3.45;5.03;32.03
22/12/2023;14:17:09;304;0.00;3.45;5.03;32.03
22/12/2023;14:17:11;306;0.30;3.48;5.03;39.84
22/12/2023;14:17:14;308;0.30;3.43;5.03;39.84
22/12/2023;14:17:16;310;0.35;3.43;5.03;39.84
22/12/2023;14:17:19;312;0.35;3.44;5.03;39.84
22/12/2023;14:17:21;314;0.35;3.43;5.03;39.84
22/12/2023;14:17:24;316;0.00;3.43;5.03;39.84
22/12/2023;14:17:26;318;0.30;3.43;5.03;39.84
22/12/2023;14:17:29;320;0.35;3.43;5.03;39.84
22/12/2023;14:17:31;322;0.35;3.44;5.03;39.84
22/12/2023;14:17:34;324;0.35;3.44;5.03;39.84
22/12/2023;14:17:36;326;0.35;3.44;5.03;39.84
22/12/2023;14:17:39;328;0.00;3.44;5.03;39.84
22/12/2023;14:17:41;330;0.35;3.44;5.03;39.84
22/12/2023;14:17:44;332;0.30;3.43;5.03;39.84
22/12/2023;14:17:47;334;0.35;3.41;5.03;39.84
22/12/2023;14:17:49;336;0.35;3.43;5.03;39.84
22/12/2023;14:17:52;338;0.35;3.43;5.03;39.84
22/12/2023;14:17:54;340;0.35;3.43;5.03;39.84
22/12/2023;14:17:57;342;0.00;3.43;5.03;39.84
22/12/2023;14:17:59;344;0.35;3.43;5.03;39.84
22/12/2023;14:18:02;346;0.30;3.43;5.03;39.84
22/12/2023;14:18:05;348;0.35;3.43;5.03;39.84
22/12/2023;14:18:07;350;0.35;3.43;5.03;39.84
22/12/2023;14:18:10;352;0.35;3.44;5.03;39.84
22/12/2023;14:18:12;354;0.30;3.44;5.03;39.84
22/12/2023;14:18:15;356;0.00;3.38;5.03;39.84
22/12/2023;14:18:17;358;0.35;3.40;5.03;39.84
22/12/2023;14:18:20;360;0.35;3.41;5.03;39.84
22/12/2023;14:18:22;362;0.40;3.40;5.03;47.66
22/12/2023;14:18:25;364;0.40;3.41;5.03;47.66
22/12/2023;14:18:27;366;0.00;3.51;5.03;47.66
22/12/2023;14:18:29;368;0.35;3.41;5.03;47.66
22/12/2023;14:18:31;370;0.40;3.40;5.03;47.66
22/12/2023;14:18:34;372;0.40;3.41;5.03;47.66
22/12/2023;14:18:37;374;0.40;3.43;5.03;47.66
22/12/2023;14:18:39;376;0.00;3.40;5.03;47.66
22/12/2023;14:18:42;378;0.35;3.43;5.03;47.66
22/12/2023;14:18:44;380;0.40;3.43;5.03;47.66
22/12/2023;14:18:47;382;0.40;3.44;5.03;47.66
22/12/2023;14:18:49;384;0.40;3.43;5.03;47.66
22/12/2023;14:18:52;386;0.40;3.43;5.03;47.66
22/12/2023;14:18:55;388;0.00;3.43;5.03;47.66
22/12/2023;14:18:57;390;0.44;3.43;5.03;47.66
22/12/2023;14:19:00;392;0.40;3.43;5.03;47.66
22/12/2023;14:19:02;394;0.40;3.43;5.03;47.66
22/12/2023;14:19:05;396;0.40;3.43;5.03;47.66
22/12/2023;14:19:07;398;0.40;3.44;5.03;47.66
22/12/2023;14:19:10;400;0.44;3.45;5.03;47.66
22/12/2023;14:19:12;402;0.00;3.44;5.03;47.66
22/12/2023;14:19:15;404;0.35;3.41;5.03;55.86
22/12/2023;14:19:17;406;0.44;3.39;5.03;55.86
22/12/2023;14:19:20;408;0.44;3.40;5.03;55.86
22/12/2023;14:19:23;410;0.49;3.41;5.03;55.86
22/12/2023;14:19:25;412;0.44;3.40;5.03;55.86
22/12/2023;14:19:28;414;0.00;3.39;5.03;55.86
22/12/2023;14:19:30;416;0.49;3.40;5.03;55.86
22/12/2023;14:19:33;418;0.49;3.41;5.03;55.86
22/12/2023;14:19:36;420;0.49;3.40;5.03;55.86
22/12/2023;14:19:38;422;0.49;3.39;5.03;55.86
22/12/2023;14:19:41;424;0.44;3.40;5.03;55.86
22/12/2023;14:19:43;426;0.49;3.39;5.03;55.86
22/12/2023;14:19:46;428;0.00;3.39;5.03;55.86
22/12/2023;14:19:48;430;0.49;3.40;5.03;55.86
22/12/2023;14:19:50;432;0.49;3.43;5.03;55.86
22/12/2023;14:19:53;434;0.54;3.45;5.03;55.86
22/12/2023;14:19:55;436;0.49;3.45;5.03;55.86
22/12/2023;14:19:58;438;0.00;3.47;5.03;55.86
22/12/2023;14:20:00;440;0.49;3.45;5.03;55.86
22/12/2023;14:20:03;442;0.54;3.45;5.03;55.86
22/12/2023;14:20:05;444;0.49;3.47;5.03;55.86
22/12/2023;14:20:08;446;0.49;3.45;5.03;55.86
22/12/2023;14:20:10;448;0.54;3.41;5.03;55.86
22/12/2023;14:20:13;450;0.00;3.47;5.03;55.86
22/12/2023;14:20:15;452;0.49;3.47;5.03;55.86
22/12/2023;14:20:18;454;0.54;3.47;5.03;55.86
22/12/2023;14:20:20;456;0.49;3.45;5.03;55.86
22/12/2023;14:20:23;458;0.54;3.48;5.03;55.86
22/12/2023;14:20:26;460;0.49;3.47;5.03;55.86
22/12/2023;14:20:28;462;0.00;3.48;5.03;55.86
22/12/2023;14:20:31;464;0.49;3.47;5.03;55.86
22/12/2023;14:20:33;466;0.54;3.39;5.03;63.67
22/12/2023;14:20:36;468;0.49;3.45;5.03;63.67
22/12/2023;14:20:39;470;0.54;3.44;5.03;63.67
22/12/2023;14:20:41;472;0.54;3.44;5.03;63.67
22/12/2023;14:20:44;474;0.54;3.45;5.03;63.67
22/12/2023;14:20:46;476;0.00;3.44;5.03;63.67
22/12/2023;14:20:49;478;0.54;3.44;5.03;63.67
22/12/2023;14:20:51;480;0.54;3.44;5.03;63.67
22/12/2023;14:20:54;482;0.49;3.45;5.03;63.67
22/12/2023;14:20:57;484;0.54;3.45;5.03;63.67
22/12/2023;14:20:59;486;0.54;3.45;5.03;63.67
22/12/2023;14:21:02;488;0.54;3.44;5.03;63.67
22/12/2023;14:21:04;490;0.00;3.44;5.03;63.67
22/12/2023;14:21:07;492;0.54;3.45;5.03;63.67
22/12/2023;14:21:09;494;0.54;3.44;5.03;63.67
22/12/2023;14:21:12;496;0.54;3.45;5.03;63.67
22/12/2023;14:21:15;498;0.54;3.44;5.03;63.67
22/12/2023;14:21:17;500;0.54;3.66;5.03;63.67
22/12/2023;14:21:20;502;0.20;3.69;5.03;63.67
22/12/2023;14:21:22;504;0.00;3.66;5.03;63.67
22/12/2023;14:21:25;506;0.15;3.67;5.03;71.88
22/12/2023;14:21:28;508;0.20;3.69;5.03;71.88
22/12/2023;14:21:30;510;0.15;3.60;5.03;71.88
22/12/2023;14:21:33;512;0.20;3.58;5.03;71.88
22/12/2023;14:21:35;514;0.15;3.64;5.03;71.88
22/12/2023;14:21:38;516;0.00;3.51;5.03;71.88
22/12/2023;14:21:40;518;0.30;3.69;5.03;71.88
22/12/2023;14:21:43;520;0.20;3.71;5.03;71.88
22/12/2023;14:21:46;522;0.15;3.40;5.03;71.88
22/12/2023;14:21:49;524;0.44;3.38;5.03;71.88
22/12/2023;14:21:53;526;0.59;3.39;5.03;71.88
22/12/2023;14:21:56;528;0.59;3.36;5.03;71.88
22/12/2023;14:21:59;530;0.64;3.71;5.03;71.88
22/12/2023;14:22:02;532;0.35;3.70;5.03;71.88
22/12/2023;14:22:04;534;0.10;3.69;5.03;71.88
22/12/2023;14:22:07;536;0.15;3.69;5.03;71.88
22/12/2023;14:22:09;538;0.15;3.69;5.03;71.88
22/12/2023;14:22:12;540;0.15;3.67;5.03;71.88
22/12/2023;14:22:15;542;0.10;3.66;5.03;71.88
