Data;hora;Tempo(s);Vazão(L/min);Pressão(bar);Frequência(hz);DutyCycle (%)
22/12/2023;11:01:24;0;0.31;2.35;7.05;7.81
22/12/2023;11:01:26;2;0.11;2.33;7.05;7.81
22/12/2023;11:01:29;4;0.06;2.35;7.05;7.81
22/12/2023;11:01:31;6;0.11;2.32;7.05;7.82
22/12/2023;11:01:33;8;0.00;2.32;7.05;7.82
22/12/2023;11:01:36;10;0.06;2.32;7.64;0.01
22/12/2023;11:01:38;12;0.11;2.28;7.05;7.81
22/12/2023;11:01:41;14;0.06;2.24;90.15;99.97
22/12/2023;11:01:43;16;0.06;2.22;7.05;7.82
22/12/2023;11:01:45;18;0.00;2.15;7.05;7.81
22/12/2023;11:01:48;20;0.06;2.14;7.05;7.81
22/12/2023;11:01:50;22;0.06;2.13;90.13;99.95
22/12/2023;11:01:52;24;0.06;2.13;7.05;7.81
22/12/2023;11:01:55;26;0.06;2.11;7.05;7.81
22/12/2023;11:01:57;28;0.00;2.13;7.64;0.01
22/12/2023;11:02:00;30;0.06;2.11;7.05;7.81
22/12/2023;11:02:02;32;0.06;2.11;7.05;7.81
22/12/2023;11:02:04;34;0.06;2.11;7.05;7.81
22/12/2023;11:02:07;36;0.00;2.11;90.17;100.00
22/12/2023;11:02:09;38;0.06;2.10;90.14;99.96
22/12/2023;11:02:11;40;0.06;2.11;7.05;7.81
22/12/2023;11:02:14;42;0.06;2.11;7.05;7.81
22/12/2023;11:02:16;44;0.06;2.11;7.05;7.81
22/12/2023;11:02:19;46;0.00;2.11;7.05;7.82
22/12/2023;11:02:21;48;0.06;2.10;7.05;7.81
22/12/2023;11:02:24;50;0.06;2.11;7.05;7.81
22/12/2023;11:02:26;52;0.06;2.09;7.05;7.81
22/12/2023;11:02:28;54;0.06;2.09;7.05;7.81
22/12/2023;11:02:31;56;0.00;2.10;7.05;7.81
22/12/2023;11:02:33;58;0.06;2.09;7.05;7.82
22/12/2023;11:02:36;60;0.06;2.11;7.64;0.01
22/12/2023;11:02:38;62;0.06;2.10;7.05;7.81
22/12/2023;11:02:40;64;0.06;2.09;90.14;99.96
22/12/2023;11:02:43;66;0.00;2.09;7.05;7.81
22/12/2023;11:02:45;68;0.06;2.10;7.05;7.82
22/12/2023;11:02:48;70;0.06;2.09;7.05;7.81
22/12/2023;11:02:50;72;0.06;2.10;7.05;7.81
22/12/2023;11:02:52;74;0.06;2.09;7.05;7.81
22/12/2023;11:02:55;76;0.00;2.09;7.64;0.01
22/12/2023;11:02:57;78;0.06;2.09;7.05;7.81
22/12/2023;11:03:00;80;0.06;2.10;7.05;7.81
22/12/2023;11:03:02;82;0.06;2.07;8.39;0.01
22/12/2023;11:03:04;84;0.06;2.02;7.05;16.02
22/12/2023;11:03:07;86;0.00;2.02;7.05;16.02
22/12/2023;11:03:09;88;0.11;2.02;7.05;16.02
22/12/2023;11:03:12;90;0.16;1.99;7.05;16.02
22/12/2023;11:03:14;92;0.11;2.03;8.39;0.01
22/12/2023;11:03:16;94;0.00;2.02;7.05;16.02
22/12/2023;11:03:19;96;0.11;2.05;8.39;0.01
22/12/2023;11:03:21;98;0.06;2.03;7.05;16.02
22/12/2023;11:03:23;100;0.11;2.01;7.05;16.02
22/12/2023;11:03:26;102;0.11;2.02;7.05;16.01
22/12/2023;11:03:28;104;0.00;2.03;7.05;16.01
22/12/2023;11:03:31;106;0.16;2.03;7.05;16.02
22/12/2023;11:03:33;108;0.11;2.03;7.05;16.02
22/12/2023;11:03:36;110;0.11;2.02;7.05;16.02
22/12/2023;11:03:38;112;0.11;2.01;7.05;16.02
22/12/2023;11:03:40;114;0.00;2.02;7.05;16.01
22/12/2023;11:03:43;116;0.11;2.01;7.05;16.01
22/12/2023;11:03:45;118;0.11;2.02;7.05;16.02
22/12/2023;11:03:48;120;0.11;2.03;7.05;16.02
22/12/2023;11:03:50;122;0.11;2.01;43.98;99.98
22/12/2023;11:03:52;124;0.00;1.99;7.05;23.83
22/12/2023;11:03:55;126;0.11;1.97;7.05;23.83
22/12/2023;11:03:57;128;0.16;1.99;7.05;23.83
22/12/2023;11:04:00;130;0.16;1.98;7.05;23.83
22/12/2023;11:04:02;132;0.11;1.99;9.25;0.01
22/12/2023;11:04:04;134;0.00;1.99;7.05;23.83
22/12/2023;11:04:07;136;0.16;1.98;7.05;23.83
22/12/2023;11:04:09;138;0.16;1.99;29.56;99.99
22/12/2023;11:04:11;140;0.16;1.98;7.05;23.83
22/12/2023;11:04:14;142;0.11;1.98;7.05;23.83
22/12/2023;11:04:16;144;0.00;1.98;9.25;0.01
22/12/2023;11:04:19;146;0.16;1.98;7.05;23.83
22/12/2023;11:04:21;148;0.16;1.97;7.05;23.83
22/12/2023;11:04:23;150;0.11;1.98;7.05;23.83
22/12/2023;11:04:26;152;0.16;1.98;7.05;23.83
22/12/2023;11:04:28;154;0.00;1.97;7.05;23.83
22/12/2023;11:04:31;156;0.16;1.97;7.05;23.83
22/12/2023;11:04:33;158;0.16;1.97;7.05;23.83
22/12/2023;11:04:36;160;0.11;1.97;7.05;23.83
22/12/2023;11:04:38;162;0.16;1.96;7.05;32.03
22/12/2023;11:04:41;164;0.00;1.94;7.05;32.04
22/12/2023;11:04:43;166;0.16;1.94;7.05;32.03
22/12/2023;11:04:45;168;0.16;1.94;7.05;32.03
22/12/2023;11:04:48;170;0.21;1.93;7.05;32.03
22/12/2023;11:04:50;172;0.16;1.94;7.05;32.03
22/12/2023;11:04:53;174;0.00;1.96;7.05;32.03
22/12/2023;11:04:55;176;0.16;1.93;7.05;32.04
22/12/2023;11:04:58;178;0.21;1.96;21.99;99.99
22/12/2023;11:05:00;180;0.16;1.96;21.99;99.99
22/12/2023;11:05:02;182;0.16;1.94;7.05;32.03
22/12/2023;11:05:05;184;0.00;1.94;7.05;32.03
22/12/2023;11:05:07;186;0.16;1.94;7.05;32.03
22/12/2023;11:05:09;188;0.21;1.94;7.05;32.04
22/12/2023;11:05:12;190;0.16;1.92;7.05;39.85
22/12/2023;11:05:14;192;0.21;1.92;7.05;39.85
22/12/2023;11:05:17;194;0.00;1.93;7.05;39.84
22/12/2023;11:05:19;196;0.16;1.90;7.05;39.84
22/12/2023;11:05:22;198;0.21;1.93;11.71;0.02
22/12/2023;11:05:24;200;0.21;1.93;17.68;99.99
22/12/2023;11:05:26;202;0.00;1.92;11.71;0.02
22/12/2023;11:05:28;204;0.21;1.94;7.05;39.84
