Data;hora;Tempo(s);Vazão(L/min);Pressão(bar);Frequência(hz);DutyCycle (%)
21/12/2023;12:52:33;0;0.05;2.92;5.03;10
21/12/2023;12:52:35;2;0.05;2.92;5.03;10
21/12/2023;12:52:38;4;0.11;2.92;5.03;10
21/12/2023;12:52:40;6;0.05;2.88;5.03;10
21/12/2023;12:52:43;8;0.11;2.87;5.03;10
21/12/2023;12:52:46;10;0.05;2.84;5.03;10
21/12/2023;12:52:48;12;0.00;2.80;5.03;10
21/12/2023;12:52:51;14;0.05;2.82;5.03;10
21/12/2023;12:52:53;16;0.05;2.79;5.03;10
21/12/2023;12:52:56;18;0.05;2.75;5.03;10
21/12/2023;12:52:59;20;0.05;2.76;5.03;10
21/12/2023;12:53:01;22;0.05;2.75;5.03;10
21/12/2023;12:53:04;24;0.05;2.76;5.03;10
21/12/2023;12:53:06;26;0.00;2.74;5.03;10
21/12/2023;12:53:09;28;0.05;2.76;5.03;10
21/12/2023;12:53:12;30;0.05;2.76;5.03;10
21/12/2023;12:53:14;32;0.05;2.74;5.03;10
21/12/2023;12:53:17;34;-0.01;2.75;5.03;10
21/12/2023;12:53:19;36;0.05;2.75;5.03;10
21/12/2023;12:53:22;38;0.05;2.75;5.03;10
21/12/2023;12:53:25;40;0.00;2.74;5.03;10
21/12/2023;12:53:27;42;0.05;2.75;5.03;10
21/12/2023;12:53:30;44;0.05;2.75;5.03;10
21/12/2023;12:53:32;46;0.05;2.75;5.03;10
21/12/2023;12:53:35;48;0.05;2.74;5.03;10
21/12/2023;12:53:38;50;0.05;2.74;5.03;10
21/12/2023;12:53:40;52;0.05;2.74;5.03;10
21/12/2023;12:53:43;54;0.00;2.75;5.03;10
21/12/2023;12:53:45;56;0.05;2.74;5.03;10
21/12/2023;12:53:48;58;0.05;2.75;5.03;10
21/12/2023;12:53:51;60;0.05;2.75;5.03;10
21/12/2023;12:53:53;62;0.05;2.74;5.03;10
21/12/2023;12:53:56;64;0.05;2.75;5.03;10
21/12/2023;12:53:58;66;0.05;2.75;5.03;10
21/12/2023;12:54:01;68;0.05;2.75;5.03;20
21/12/2023;12:54:04;70;0.00;2.72;5.02;20
21/12/2023;12:54:06;72;0.11;2.71;5.03;20
21/12/2023;12:54:09;74;0.05;2.70;5.03;20
21/12/2023;12:54:11;76;0.11;2.71;5.04;20
21/12/2023;12:54:14;78;0.17;2.72;5.04;20
21/12/2023;12:54:17;80;0.05;2.72;5.03;20
21/12/2023;12:54:19;82;0.11;2.71;5.04;20
21/12/2023;12:54:22;84;0.00;2.71;5.04;20
21/12/2023;12:54:24;86;0.11;2.72;5.04;20
21/12/2023;12:54:27;88;0.11;2.72;5.05;20
21/12/2023;12:54:30;90;0.11;2.71;5.04;20
21/12/2023;12:54:32;92;0.11;2.72;5.02;20
21/12/2023;12:54:35;94;0.11;2.70;5.03;20
21/12/2023;12:54:37;96;0.11;2.71;5.03;20
21/12/2023;12:54:40;98;0.00;2.72;5.03;20
21/12/2023;12:54:43;100;0.11;2.72;5.03;20
21/12/2023;12:54:45;102;0.11;2.71;5.03;20
21/12/2023;12:54:48;104;0.11;2.72;5.03;20
21/12/2023;12:54:50;106;0.11;2.72;5.03;20
21/12/2023;12:54:53;108;0.11;2.71;5.03;20
21/12/2023;12:54:56;110;0.11;2.71;5.04;20
21/12/2023;12:54:58;112;0.00;2.71;5.03;20
21/12/2023;12:55:01;114;0.05;2.71;5.03;20
21/12/2023;12:55:03;116;0.17;2.71;5.03;20
21/12/2023;12:55:06;118;0.11;2.71;5.04;20
21/12/2023;12:55:09;120;0.05;2.71;5.03;20
21/12/2023;12:55:11;122;0.11;2.72;5.03;20
21/12/2023;12:55:14;124;0.11;2.71;5.03;20
21/12/2023;12:55:16;126;0.11;2.72;5.03;20
21/12/2023;12:55:19;128;0.00;2.71;5.03;20
21/12/2023;12:55:22;130;0.11;2.70;5.03;20
21/12/2023;12:55:24;132;0.11;2.72;5.04;20
21/12/2023;12:55:27;134;0.11;2.71;5.03;20
21/12/2023;12:55:29;136;0.11;2.71;5.04;20
21/12/2023;12:55:32;138;0.11;2.72;5.03;20
21/12/2023;12:55:35;140;0.05;2.71;5.04;20
21/12/2023;12:55:37;142;0.00;2.71;5.03;20
21/12/2023;12:55:40;144;0.11;2.70;5.03;20
21/12/2023;12:55:42;146;0.11;2.70;5.03;20
21/12/2023;12:55:45;148;0.11;2.69;5.04;20
21/12/2023;12:55:48;150;0.11;2.70;5.03;20
21/12/2023;12:55:50;152;0.11;2.71;5.03;20
21/12/2023;12:55:53;154;0.11;2.75;5.03;20
21/12/2023;12:55:55;156;0.00;2.75;5.03;20
21/12/2023;12:55:58;158;0.11;2.75;5.03;20
21/12/2023;12:56:01;160;0.11;2.75;5.03;20
21/12/2023;12:56:03;162;0.17;2.75;5.04;20
21/12/2023;12:56:06;164;0.11;2.74;5.03;20
21/12/2023;12:56:08;166;0.11;2.75;5.04;20
21/12/2023;12:56:11;168;0.11;2.75;5.03;20
21/12/2023;12:56:14;170;0.00;2.75;5.03;20
21/12/2023;12:56:16;172;0.11;2.74;5.03;30
21/12/2023;12:56:19;174;0.11;2.75;5.03;30
21/12/2023;12:56:21;176;0.17;2.71;5.03;30
21/12/2023;12:56:24;178;0.11;2.71;5.03;30
21/12/2023;12:56:26;180;0.17;2.71;5.03;30
21/12/2023;12:56:29;182;0.17;2.72;5.03;30
21/12/2023;12:56:32;184;0.00;2.71;5.04;30
21/12/2023;12:56:34;186;0.17;2.71;5.04;30
21/12/2023;12:56:37;188;0.17;2.71;5.03;30
21/12/2023;12:56:39;190;0.17;2.74;5.04;30
21/12/2023;12:56:42;192;0.17;2.71;5.04;30
21/12/2023;12:56:45;194;0.17;2.71;5.04;30
21/12/2023;12:56:47;196;0.17;2.71;5.04;30
21/12/2023;12:56:50;198;0.00;2.71;5.04;30
21/12/2023;12:56:52;200;0.11;2.71;5.04;30
21/12/2023;12:56:55;202;0.17;2.72;5.03;30
21/12/2023;12:56:58;204;0.17;2.72;5.04;30
21/12/2023;12:57:00;206;0.17;2.71;5.03;30
21/12/2023;12:57:03;208;0.17;2.71;5.03;30
21/12/2023;12:57:05;210;0.17;2.71;5.04;30
21/12/2023;12:57:08;212;0.17;2.74;5.03;30
21/12/2023;12:57:11;214;0.00;2.76;5.03;30
21/12/2023;12:57:13;216;0.17;2.78;5.03;30
21/12/2023;12:57:16;218;0.17;2.78;5.03;30
21/12/2023;12:57:18;220;0.17;2.78;5.03;30
21/12/2023;12:57:21;222;0.17;2.79;5.04;30
21/12/2023;12:57:24;224;0.23;2.78;5.03;30
21/12/2023;12:57:26;226;0.17;2.78;5.03;30
21/12/2023;12:57:29;228;0.00;2.78;5.03;30
