Data;hora;Tempo(s);Vazão(L/min);Pressão(bar);Frequência(hz);DutyCycle (%)
21/12/2023;15:51:28;0;-0.08;1.94;0;10
21/12/2023;15:51:32;2;-0.08;1.93;0;10
21/12/2023;15:51:35;4;-0.2;1.9;0;10
21/12/2023;15:51:39;6;-0.14;1.89;0;10
21/12/2023;15:51:42;8;-0.14;1.9;0;10
21/12/2023;15:51:46;10;-0.14;1.89;0;10
21/12/2023;15:51:49;12;-0.14;1.92;5.04;10
21/12/2023;15:51:52;14;-0.14;1.88;5.03;10
21/12/2023;15:51:54;16;-0.14;1.86;5.03;10
21/12/2023;15:51:57;18;-0.14;1.88;5.03;10
21/12/2023;15:51:59;20;-0.14;1.88;5.03;10
21/12/2023;15:52:02;22;-0.14;1.98;5.03;10
21/12/2023;15:52:05;24;-0.08;2.01;5.03;10
21/12/2023;15:52:07;26;-0.14;1.98;5.03;10
21/12/2023;15:52:10;28;-0.14;1.99;5.04;10
21/12/2023;15:52:12;30;-0.08;1.97;5.03;10
21/12/2023;15:52:15;32;-0.08;1.96;5.04;10
21/12/2023;15:52:18;34;-0.14;1.97;5.03;10
21/12/2023;15:52:20;36;-0.08;1.96;5.03;10
21/12/2023;15:52:23;38;-0.14;1.98;5.03;10
21/12/2023;15:52:25;40;-0.08;1.96;5.03;10
21/12/2023;15:52:28;42;-0.14;2.01;5.03;10
21/12/2023;15:52:31;44;-0.08;1.93;7.04;10
21/12/2023;15:52:33;46;-0.08;1.9;7.19;10
21/12/2023;15:52:36;48;-0.08;1.92;7.07;10
21/12/2023;15:52:38;50;-0.02;1.92;6.91;10
21/12/2023;15:52:40;52;0.04;1.93;7.21;10
21/12/2023;15:52:43;54;-0.02;1.93;7.01;10
21/12/2023;15:52:45;56;0.04;1.93;6.93;10
21/12/2023;15:52:48;58;-0.02;1.9;7.15;10
21/12/2023;15:52:50;60;0.04;1.93;6.9;10
21/12/2023;15:52:53;62;0;1.96;5.01;20
21/12/2023;15:52:55;64;-0.02;1.97;5.02;20
21/12/2023;15:52:58;66;-0.02;1.96;5.03;20
21/12/2023;15:53:00;68;-0.02;1.93;5.04;20
21/12/2023;15:53:03;70;-0.08;1.96;5.04;20
21/12/2023;15:53:06;72;-0.02;1.96;5.04;20
21/12/2023;15:53:08;74;-0.02;1.94;5.03;20
21/12/2023;15:53:11;76;0;1.94;5.04;20
21/12/2023;15:53:13;78;-0.02;1.96;5.03;20
21/12/2023;15:53:16;80;-0.08;1.98;5.04;20
21/12/2023;15:53:19;82;-0.02;1.93;5.06;20
21/12/2023;15:53:21;84;-0.02;1.92;5.03;20
21/12/2023;15:53:24;86;-0.08;1.92;5.04;20
21/12/2023;15:53:26;88;-0.02;1.93;5.03;20
21/12/2023;15:53:29;90;-0.02;1.92;5.04;20
21/12/2023;15:53:32;92;0;1.92;5.04;20
21/12/2023;15:53:34;94;-0.08;1.93;5.03;20
21/12/2023;15:53:37;96;-0.02;1.92;5.03;20
21/12/2023;15:53:39;98;-0.02;1.9;5.04;20
21/12/2023;15:53:42;100;-0.08;1.94;5.03;20
21/12/2023;15:53:45;102;-0.02;1.96;5.02;20
21/12/2023;15:53:47;104;-0.02;2.02;5.03;20
21/12/2023;15:53:50;106;0;2.02;5.03;20
21/12/2023;15:53:52;108;-0.02;2.02;5.03;20
21/12/2023;15:53:55;110;-0.02;2.01;5.04;20
21/12/2023;15:53:58;112;-0.02;1.99;5.03;20
21/12/2023;15:54:00;114;-0.02;2.01;5.03;20
21/12/2023;15:54:03;116;-0.02;1.99;5.03;20
21/12/2023;15:54:05;118;-0.02;1.99;5.02;20
21/12/2023;15:54:08;120;0;2.01;5.03;20
21/12/2023;15:54:11;122;-0.02;2.01;5.04;20
21/12/2023;15:54:13;124;-0.02;2.01;5.03;20
21/12/2023;15:54:16;126;0.04;2.01;5.04;20
21/12/2023;15:54:18;128;0.04;1.96;5.03;20
21/12/2023;15:54:21;130;0.1;1.96;5.03;30
21/12/2023;15:54:23;132;0.04;2.02;5.02;30
21/12/2023;15:54:26;134;0;1.99;5.03;30
21/12/2023;15:54:29;136;0.04;1.99;5.04;30
21/12/2023;15:54:31;138;0.04;1.97;5.03;30
21/12/2023;15:54:34;140;0.1;1.97;5.03;30
21/12/2023;15:54:36;142;0.04;1.97;5.04;30
21/12/2023;15:54:39;144;0.04;1.96;5.02;30
21/12/2023;15:54:42;146;-0.02;1.94;5.04;30
21/12/2023;15:54:44;148;0;1.96;5.03;30
21/12/2023;15:54:47;150;0.04;1.98;5.04;30
21/12/2023;15:54:49;152;0.04;1.99;5.05;30
21/12/2023;15:54:52;154;0.1;2.05;5.04;30
21/12/2023;15:54:55;156;0.04;2.03;5.05;30
21/12/2023;15:54:57;158;0.04;2.06;5.04;30
21/12/2023;15:55:00;160;0.04;2.05;5.04;30
21/12/2023;15:55:02;162;0;2.05;5.06;30
21/12/2023;15:55:05;164;0.1;2.05;5.05;30
21/12/2023;15:55:08;166;0.04;2.05;5.04;30
21/12/2023;15:55:10;168;0.04;2.05;5.04;30
21/12/2023;15:55:13;170;0.1;2.03;5.03;30
21/12/2023;15:55:15;172;0.04;2.03;5.01;30
21/12/2023;15:55:18;174;0.04;2.03;5.03;30
21/12/2023;15:55:21;176;0;2.02;5.04;30
21/12/2023;15:55:23;178;0.1;2.02;5.03;30
21/12/2023;15:55:26;180;0.04;2.02;5.04;30
21/12/2023;15:55:28;182;0.04;2.02;5.02;30
21/12/2023;15:55:31;184;0.04;2.03;5.03;30
21/12/2023;15:55:34;186;0.1;2.02;5.03;30
21/12/2023;15:55:36;188;0.04;2.02;5.04;30
21/12/2023;15:55:39;190;0.04;2.02;5.03;30
21/12/2023;15:55:41;192;0;2.02;5.04;30
21/12/2023;15:55:44;194;0.1;2.01;5.04;30
21/12/2023;15:55:47;196;0.04;2.01;5.03;30
21/12/2023;15:55:49;198;0.04;2.02;5.03;30
21/12/2023;15:55:52;200;0.04;2.01;5.04;30
21/12/2023;15:55:54;202;0.04;2.02;5.09;30
21/12/2023;15:55:57;204;0.04;2.02;13.43;40
21/12/2023;15:55:59;206;0;1.99;5.04;40
21/12/2023;15:56:02;208;0.1;1.98;5.03;40
21/12/2023;15:56:05;210;0.15;1.99;5.03;40
21/12/2023;15:56:07;212;0.1;2.01;5.03;40
21/12/2023;15:56:10;214;0.1;1.99;5.03;40
21/12/2023;15:56:12;216;0.1;1.99;5.04;40
21/12/2023;15:56:15;218;0.15;1.99;5.03;40
21/12/2023;15:56:18;220;0;2.01;5.02;40
21/12/2023;15:56:20;222;0.1;1.99;5.02;40
21/12/2023;15:56:23;224;0.1;2.01;5.03;40
21/12/2023;15:56:25;226;0.15;2.01;5.03;40
21/12/2023;15:56:28;228;0.1;2.02;5.03;40
21/12/2023;15:56:31;230;0.1;2.01;5.07;40
21/12/2023;15:56:33;232;0.1;2.01;5.03;40
21/12/2023;15:56:36;234;0;2.03;5.06;50
21/12/2023;15:56:38;236;0.15;1.98;5.04;50
21/12/2023;15:56:41;238;0.1;1.97;5.03;50
21/12/2023;15:56:44;240;0.15;1.98;5.03;50
21/12/2023;15:56:46;242;0.21;1.98;5.04;50
21/12/2023;15:56:49;244;0.15;1.98;5.03;50
21/12/2023;15:56:51;246;0.15;1.99;5.06;50
21/12/2023;15:56:54;248;0;1.97;5.06;50
21/12/2023;15:56:57;250;0.15;1.98;5.03;50
21/12/2023;15:56:59;252;0.15;1.98;5.03;50
21/12/2023;15:57:02;254;0.21;1.98;5.02;50
21/12/2023;15:57:04;256;0.15;2.01;5.04;50
21/12/2023;15:57:07;258;0.15;2.01;5.03;50
21/12/2023;15:57:10;260;0.15;1.99;5.02;50
21/12/2023;15:57:12;262;0;1.98;5.04;50
21/12/2023;15:57:15;264;0.15;1.99;5.02;50
21/12/2023;15:57:17;266;0.15;1.98;5.03;50
21/12/2023;15:57:20;268;0.15;1.99;5.04;50
21/12/2023;15:57:23;270;0.15;1.98;5.04;50
21/12/2023;15:57:25;272;0.15;1.99;5.03;50
21/12/2023;15:57:28;274;0.21;1.98;5.04;50
21/12/2023;15:57:30;276;0.15;1.98;5.04;50
21/12/2023;15:57:33;278;0;1.99;5.04;60
21/12/2023;15:57:36;280;0.15;1.97;5.02;60
21/12/2023;15:57:38;282;0.15;1.94;5.06;60
21/12/2023;15:57:41;284;0.21;1.96;5.04;60
21/12/2023;15:57:43;286;0.27;1.96;5.04;60
21/12/2023;15:57:46;288;0.21;1.96;5.01;60
21/12/2023;15:57:48;290;0.21;1.96;5.04;60
21/12/2023;15:57:51;292;0;1.96;5;60
21/12/2023;15:57:54;294;0.21;1.96;4.99;60
21/12/2023;15:57:56;296;0.21;1.96;5.1;60
21/12/2023;15:57:59;298;0.21;1.96;5.02;60
21/12/2023;15:58:01;300;0.21;1.98;5.05;60
21/12/2023;15:58:04;302;0.21;1.98;5.04;60
21/12/2023;15:58:07;304;0.27;1.99;5.03;60
21/12/2023;15:58:09;306;0;1.97;5.03;60
21/12/2023;15:58:12;308;0.21;1.96;5.03;60
21/12/2023;15:58:14;310;0.21;1.98;5.03;60
21/12/2023;15:58:17;312;0.21;1.97;5.04;60
21/12/2023;15:58:20;314;0.21;1.97;5.03;60
21/12/2023;15:58:22;316;0.21;1.98;5.04;60
21/12/2023;15:58:25;318;0.21;1.98;5.04;60
21/12/2023;15:58:27;320;0;1.94;5.04;60
21/12/2023;15:58:30;322;0.21;1.97;5.04;70
21/12/2023;15:58:33;324;0.21;1.97;5.02;70
21/12/2023;15:58:35;326;0.27;1.97;5.03;70
21/12/2023;15:58:38;328;0.21;1.97;5.03;70
21/12/2023;15:58:40;330;0.21;1.96;5.04;70
